start	end	text
19500	22480	Pretty good, pretty good, yeah.
27360	35680	Nothing crazy new, just done with school, well, done with the semester, so that's nice.
38660	44600	Nothing super crazy, just doing my engineering program and volunteering in a research lab
44600	47360	and whatnot, so yeah, yep.
53440	53460	Yes.
56200	56940	Yeah, mechanical engineering.
66040	66080	That's good.
66080	69680	When I first went to college, I started out as a computer science major, and I had a really
69680	74120	hard time figuring out what I wanted to do and what I was genuinely interested in.
74580	80800	I kind of got into psych, just, I don't know, I thought it was interesting, so it was something
80800	84100	to do, and I kind of hopped around a bit there with what I was going to do with that.
84100	87080	I was pre-med for a while, because I would...
87320	91700	I love science and whatnot, and I thought, hey, like, helping people and, you know, all
91700	93080	the science with that would be cool.
94920	96920	Figured med school, probably not it for me.
98040	104300	I thought of doing...going to physical therapy school, because I also really love working
104300	109720	out and just sports and playing sports and things like that, so yeah, but I felt like
109720	113660	there was just an itch there that that wouldn't scratch, and I wouldn't...like, I'd be okay
113660	117100	with it, but I wouldn't be, like, super happy with it going.
117100	123120	In the long run, because I love, like, building and creating things and just all that type
123120	129860	of stuff, so engineering seemed like a good fit, and mechanical is just so broad.
129860	141180	I could do just about anything with it, yeah, yeah, yeah, yeah, mm-hmm, yep.
147100	148660	Pretty good.
148660	154540	I don't know, I've always had a hard time making friends, but I made friends with some
154540	157740	grad students playing volleyball, so that's been fun.
157740	164120	They're all in the, like, biomedical engineering department for the most part, so it's fun
164120	167740	playing volleyball with them, and I've just met a lot of people through volleyball, so
167740	173520	yeah, but doing stuff with them, yeah, it's been good, it's been good.
177040	182160	Yeah, yeah, everything's fine there.
183220	187280	My parents live an hour away from here, so I can go back and visit fairly regularly,
187440	188580	so that's nice.
203900	207520	I mean, since coming to college and kind
207520	214800	of really in the last, say, two years, I've definitely become more confident.
214800	219600	I was very shy growing up, and I went to a small school.
220040	228580	My graduating class was 82 people, yeah, yeah, so, like, you know everyone, and I was definitely
228880	235340	different interest-wise than a lot of people there, because, like, I mean, music-wise,
235340	236920	everyone listened to either...
237040	243460	like, rap, hip-hop stuff, or country, it's like, you get two, you get two things, and
243460	248080	I really liked electronic music, like, EDM stuff, for one, and then just, I was super
248080	254480	into, like, I remember in middle school going to my grandparents' after school, because
254480	260560	my parents were still working, so I went there until my mom got off work, and I'd be watching,
260560	267580	like, astrophysics videos on YouTube, so, yeah, I was just a good bit different.
267580	272320	A good bit different from everyone else there, and never really fit in, and was just kind
272320	279100	of shy and quiet to begin with, so that didn't help that, but, you know, going to college,
279100	285320	a lot bigger here, it's way easier to find, like, your people, because, like, you have
285320	289720	options instead of, you know, 82 people to pick from, yeah.
296600	309460	I'd say easier, yeah, yeah, like, meeting people that are interested in similar things,
309460	317020	and kind of working towards things that I, like, respect and find interesting, as well
317020	323480	has been very nice, yeah, yeah, it's been very helpful, I think.
326600	340800	Um, well, the type of people I'm friends with now has definitely changed.
342020	346640	Growing up, again, since I lived in a really small town, I didn't have a huge choice of
346640	356840	friends, yeah, a lot of, a lot of drugs and stuff in my school, too, that was not exactly
356840	363720	my cup of tea growing up, um, yeah, just, everyone's, that I'm friends with is really
363720	369260	trying to do something with themselves, you know, my girlfriend is going to nursing school
369260	376460	here, and that's tied for the top public nursing school in the nation, so, like, that's pretty
376460	381060	cool, and then I have my grad student friends, they're all doing, like, really cool things.
382700	387160	Yeah, just, I just think I'm around better people.
387160	387560	I'm around better people, honestly.
388560	389580	Yeah.
393280	393520	Good, I like it.
394480	394500	Yeah.
394500	395060	Yeah.
407920	409060	I guess, what do you mean by that?
412740	415840	Like...
416500	426900	Yeah, I mean, I mean, where I work right now, because I, I work in an interior design store
426900	433920	part-time, just in their warehouse, just, you know, pay rent, and that's, it's different,
