start	end	text
19500	19520	Pretty
19520	19960	good
20020	20380	[*]
20380	20500	pretty
20500	20860	good
20980	21940	[*]
21940	22480	yeah
27360	27580	Nothing
27580	29080	[*]
29080	29240	crazy
29240	29600	new
29740	30580	[*]
30580	30780	just
30780	31300	[*]
31300	31980	done
31980	32220	with
32220	32540	school
32700	33280	well
33380	33480	done
33480	33720	with
33720	34000	[*]
34000	34240	the
34240	34620	semester
34820	35080	so
35080	35440	that's
35440	35680	nice
38660	39040	Nothing
39040	39360	super
39360	39740	crazy
39780	40040	just
40040	40500	[*]
40500	40660	doing
40660	40880	my
40880	41260	engineering
41260	41840	program
41840	42180	and
42180	42680	volunteering
42680	42800	[*]
42800	43000	in
43000	43340	a
43340	44100	research
44100	44600	lab
44600	44900	and
44900	45320	[*]
45320	46020	whatnot
46160	46340	so
46340	46540	yeah
46640	46980	[*]
46980	47360	yep
53440	53460	Yes
56200	56220	Yeah
56260	56400	mechanical
56400	56940	engineering
66040	66060	That's
66060	66080	good
66080	66100	When
66100	66120	I
66120	66140	first
66140	66160	went
66160	66180	to
66180	66520	college
66740	67040	I
67040	67340	[*]
67340	67760	started
67760	67960	out
67960	68060	as
68060	68140	a
68140	68340	computer
68340	68620	science
68620	68980	major
69060	69180	and
69180	69240	I
69240	69360	had
69360	69420	a
69420	69680	really
69680	69840	hard
69840	70100	time
70100	70380	figuring
70380	70780	out
70780	71320	what
71320	71500	I
71500	71740	wanted
71740	71900	to
71900	72120	do
72120	72260	and
72260	72500	what
72500	72660	I
72660	72860	was
72860	73200	[*]
73200	73300	genuinely
73300	73700	interested
73700	74120	in
74580	75380	[*]
75380	75820	I
75820	77260	kind
77260	77420	of
77420	77520	got
77520	77700	into
77700	77980	psych
78060	78340	just
78420	79200	I
79200	79340	don't
79340	79420	know
79440	79520	I
79520	79600	thought
79600	79660	it
79660	79780	was
79780	80100	interesting
80240	80440	so
80440	80500	it
80500	80620	was
80620	80800	something
80800	80960	to
80960	81280	do
81400	81540	and
81540	81700	I
81700	81820	kind
81820	82020	of
82020	82320	hopped
82320	82420	around
82420	82540	a
82540	82720	bit
82720	82920	there
82920	83080	with
83080	83240	what
83240	83340	I
83340	83460	was
83460	83560	going
83560	83660	to
83660	83780	do
83780	83900	with
83900	84100	that
84100	84240	I
84240	84440	was
84440	84940	[*]
84940	85820	pre-med
85820	85980	for
85980	86120	a
86120	86440	while
86560	86840	because
86840	86940	I
86940	87080	would...
87320	87600	I
87600	87820	love
87820	88100	science
88100	88500	and
88500	88760	whatnot
88940	89060	and
89060	89180	I
89180	89320	thought
89380	89540	hey
89580	89860	like
89920	90140	helping
90140	90400	[*]
90400	90500	people
90500	90800	and
90900	91100	you
91100	91300	know
91300	91700	all
91700	91780	the
91780	92020	science
92020	92180	with
92180	92360	that
92360	92460	would
92460	92640	be
92640	93080	cool
94920	95440	Figured
95440	95540	med
95540	95800	school
95900	96140	probably
96140	96320	not
96320	96500	it
