/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:00.360] [*]
[00:00.360 --> 00:01.480] didn't
[00:01.480 --> 00:01.560] the
[00:01.560 --> 00:01.840] girl
[00:01.840 --> 00:02.040] paint
[00:02.040 --> 00:02.280] the
[00:02.280 --> 00:02.560] picture
[00:02.560 --> 00:02.940] [*]
[00:02.940 --> 00:03.760] didn't
[00:03.760 --> 00:03.840] the
[00:03.840 --> 00:04.100] girl
[00:04.100 --> 00:04.320] paint
[00:04.320 --> 00:04.520] the
[00:04.520 --> 00:04.820] picture
[00:04.820 --> 00:07.240] [*]
[00:07.240 --> 00:07.380] the
[00:07.380 --> 00:07.900] woman
[00:07.900 --> 00:08.100] who
[00:08.100 --> 00:08.280] helps
[00:08.280 --> 00:08.640] serve
[00:08.640 --> 00:08.820] the
[00:08.820 --> 00:09.000] hot
[00:09.000 --> 00:09.540] lunches
[00:09.540 --> 00:09.620] at
[00:09.620 --> 00:09.960] school
[00:09.960 --> 00:10.360] is
[00:10.360 --> 00:10.520] the
[00:10.520 --> 00:10.760] new
[00:10.760 --> 00:11.120] nurse
[00:11.120 --> 00:12.320] [*]
[00:12.320 --> 00:12.600] the
[00:12.600 --> 00:12.780] [*]
[00:12.780 --> 00:12.900] woman
[00:12.900 --> 00:13.080] who
[00:13.080 --> 00:13.300] helps
[00:13.300 --> 00:13.540] [*]
[00:13.540 --> 00:13.660] serves
[00:13.660 --> 00:13.820] the
[00:13.820 --> 00:14.000] hot
[00:14.000 --> 00:14.500] lunches
[00:14.500 --> 00:14.620] at
[00:14.620 --> 00:14.640] [*]
[00:14.640 --> 00:14.900] school
[00:14.900 --> 00:15.160] is
[00:15.160 --> 00:15.300] the
[00:15.300 --> 00:15.460] new
[00:15.460 --> 00:15.760] nurse
[00:15.760 --> 00:16.560] the
[00:16.560 --> 00:20.900] [*]
[00:20.900 --> 00:21.180] cafeteria
[00:21.180 --> 00:21.700] doors
[00:21.700 --> 00:22.180] around
[00:22.180 --> 00:22.500] [*]
[00:22.500 --> 00:22.640] which
[00:22.640 --> 00:22.780] the
[00:22.780 --> 00:23.080] seventh
[00:23.080 --> 00:23.240] [*]
[00:23.240 --> 00:23.420] graders
[00:23.420 --> 00:23.860] sometimes
[00:23.860 --> 00:24.420] stand
[00:24.420 --> 00:24.680] until
[00:24.680 --> 00:24.860] the
[00:24.860 --> 00:25.100] lunch
[00:25.100 --> 00:25.320] bell
[00:25.320 --> 00:25.660] rings
[00:25.660 --> 00:26.080] [*]
[00:26.080 --> 00:26.320] are
[00:26.320 --> 00:26.660] always
[00:26.660 --> 00:26.880] closed
[00:26.880 --> 00:27.180] [*]
[00:27.180 --> 00:27.560] but
[00:27.560 --> 00:27.880] never
[00:27.880 --> 00:28.320] locked
[00:28.320 --> 00:30.920] [*]
[00:30.920 --> 00:31.300] cafeteria
[00:31.300 --> 00:31.980] doors
[00:31.980 --> 00:32.520] around
[00:32.520 --> 00:32.940] which
[00:32.940 --> 00:33.120] the
[00:33.120 --> 00:33.460] seventh
[00:33.460 --> 00:33.840] [*]
[00:33.840 --> 00:33.940] graders
[00:33.940 --> 00:35.060] [*]
[00:35.060 --> 00:35.280] usually
[00:35.280 --> 00:35.560] sit
[00:35.560 --> 00:36.840] [*]
[00:36.840 --> 00:36.940] are
[00:36.940 --> 00:37.480] usually
[00:37.480 --> 00:37.840] [*]
[00:37.840 --> 00:38.000] closed
[00:38.000 --> 00:38.540] but
[00:38.540 --> 00:38.820] never
[00:38.820 --> 00:39.060] not
[00:39.060 --> 00:39.420] never
[00:39.420 --> 00:39.800] locked
[00:50.920 --> 00:51.980] [*]
[00:51.980 --> 00:52.240] Apple
[00:52.240 --> 00:53.280] apricot
[00:53.280 --> 00:53.660] able
[00:53.660 --> 00:54.340] [*]
[00:54.340 --> 00:54.580] ankle
[00:54.580 --> 00:55.800] [*]
[00:55.800 --> 00:55.960] area
[00:55.960 --> 00:56.360] [*]
[00:56.360 --> 00:56.620] airplane
[00:56.620 --> 00:56.880] airline
[00:56.880 --> 00:57.440] [*]
[00:57.440 --> 00:59.480] airfield
[00:59.480 --> 01:00.540] airstrip
[01:00.540 --> 01:03.280] [*]
[01:03.280 --> 01:03.680] cat
[01:03.680 --> 01:03.880] [*]
[01:03.880 --> 01:04.240] cardio
[01:07.580 --> 01:07.580] cardiovascular
[01:07.580 --> 01:07.580] climb
[01:07.580 --> 01:09.880] [*]
[01:09.880 --> 01:09.980] human
[01:09.980 --> 01:11.700] [*]
[01:11.700 --> 01:11.800] current
[01:11.800 --> 01:13.180] circlet
[01:13.180 --> 01:15.900] [*]
[01:15.900 --> 01:16.540] seek
[01:16.540 --> 01:17.560] [*]
[01:17.560 --> 01:17.680] search
[01:17.680 --> 01:18.580] [*]
[01:18.580 --> 01:18.700] sign
[01:18.700 --> 01:19.540] [*]
[01:19.540 --> 01:19.940] simple
[01:19.940 --> 01:20.260] [*]
[01:20.260 --> 01:20.440] stop
[01:20.440 --> 01:21.600] [*]
[01:21.600 --> 01:22.040] still
[01:22.040 --> 01:23.200] [*]
[01:23.200 --> 01:23.460] soup
[01:23.460 --> 01:24.420] stew
[01:26.300 --> 01:27.460] [*]
[01:27.460 --> 01:28.000] first
[01:28.000 --> 01:28.380] [*]
[01:28.380 --> 01:28.600] for
[01:28.600 --> 01:29.280] [*]
[01:29.280 --> 01:30.080] fair
[01:30.080 --> 01:31.100] [*]
[01:31.100 --> 01:31.260] feasible
[01:31.260 --> 01:32.140] [*]
[01:32.140 --> 01:32.460] find
[01:32.460 --> 01:32.720] [*]
[01:32.720 --> 01:33.420] Finders
[01:33.420 --> 01:34.520] [*]
[01:34.520 --> 01:35.020] feet
[01:35.020 --> 01:35.060] [*]
[01:35.060 --> 01:35.860] feasible
[01:35.860 --> 01:37.220] frugal
[01:37.220 --> 01:38.280] [*]
[01:38.280 --> 01:39.120] French
[01:39.120 --> 01:39.940] France
[01:48.740 --> 01:50.180] Carmel
[01:50.180 --> 01:50.600] cars
[01:50.600 --> 01:50.660] [*]
[01:50.660 --> 01:51.100] Cruze
[01:51.100 --> 01:51.380] [*]
[01:51.380 --> 01:51.540] carefully
[01:51.540 --> 01:51.920] around
[01:51.920 --> 01:52.180] the
[01:52.180 --> 01:52.400] corner
[01:54.000 --> 01:54.340] [*]
[01:54.340 --> 01:54.500] Carmel
[01:54.500 --> 01:54.500] cars
[01:54.500 --> 01:54.620] Cruz
[01:54.620 --> 01:54.740] carefully
[01:54.740 --> 01:54.740] around
[01:54.740 --> 01:54.740] the
[01:54.740 --> 01:54.920] corner
[01:55.000 --> 01:55.220] Carmel
[01:55.220 --> 01:55.260] cars
[01:55.260 --> 01:55.260] cruise
[01:55.260 --> 01:55.260] carefully
[01:55.260 --> 01:55.260] around
[01:55.260 --> 01:55.260] the
[01:55.260 --> 01:55.260] corner
[01:55.260 --> 01:55.740] [*]
[01:55.740 --> 01:56.320] on
[01:56.320 --> 01:56.780] ant-earn
[01:56.780 --> 01:57.160] ant-earn
[01:57.160 --> 01:57.180] ant-earn
[01:57.180 --> 01:57.260] ant-earn
[01:57.260 --> 01:57.320] Irma
[01:57.320 --> 01:57.420] armed
[01:57.420 --> 01:58.140] warm-blooded
[01:58.140 --> 01:58.720] aardvarks
[01:58.720 --> 01:59.000] for
[01:59.000 --> 01:59.280] war
[01:59.280 --> 02:02.020] [*]
[02:02.020 --> 02:03.600] Gary's
[02:03.600 --> 02:04.320] glassware
[02:04.320 --> 02:04.680] garbage
[02:04.680 --> 02:05.100] bag
[02:05.100 --> 02:05.760] glittered
[02:05.760 --> 02:05.840] in
[02:05.840 --> 02:05.960] the
[02:05.960 --> 02:06.320] garage
[02:06.320 --> 02:08.240] [*]
[02:08.240 --> 02:10.960] Pecans
[02:10.960 --> 02:11.200] [*]
[02:11.200 --> 02:11.320] can
[02:11.320 --> 02:11.880] peck
[02:11.880 --> 02:12.180] [*]
[02:12.180 --> 02:13.100] unsuspecting
[02:13.100 --> 02:13.520] pelicans
[02:17.400 --> 02:17.940] bag
[02:17.940 --> 02:19.040] brings
[02:19.040 --> 02:19.160] [*]
[02:19.160 --> 02:19.840] barely
[02:19.840 --> 02:20.220] any
[02:20.220 --> 02:20.600] barley
[02:20.600 --> 02:22.940] [*]
[02:22.940 --> 02:24.100] Tuesday
[02:24.100 --> 02:24.360] [*]
[02:24.360 --> 02:24.600] told
[02:24.600 --> 02:25.000] me
[02:25.000 --> 02:25.160] to
[02:25.160 --> 02:25.560] twiddle
[02:25.560 --> 02:25.680] my
[02:25.680 --> 02:26.000] toes
[02:26.000 --> 02:26.360] until
[02:26.360 --> 02:26.760] Thursday
[02:29.940 --> 02:30.560] [*]
[02:30.560 --> 02:31.040] Wesley
[02:31.040 --> 02:31.500] [*]
[02:31.500 --> 02:31.660] washed
[02:31.660 --> 02:32.260] woolly
[02:32.260 --> 02:32.700] wolves
[02:32.700 --> 02:33.000] in
[02:33.000 --> 02:33.300] warm
[02:33.300 --> 02:33.660] water
[02:37.040 --> 02:38.320] Sarah
[02:38.320 --> 02:38.940] [*]
[02:38.940 --> 02:39.040] spread
[02:39.040 --> 02:39.240] [*]
[02:39.240 --> 02:39.480] seven
[02:39.480 --> 02:39.800] [*]
[02:39.800 --> 02:40.200] spoonfuls
[02:40.200 --> 02:40.300] of
[02:40.300 --> 02:40.600] syrup
[02:40.600 --> 02:40.880] [*]
[02:40.880 --> 02:41.040] on
[02:41.040 --> 02:42.020] Spencer's
[02:42.020 --> 02:42.380] [*]
[02:42.380 --> 02:42.680] ceiling
[02:47.400 --> 02:51.400] [*]
[02:51.400 --> 02:51.920] breath
[02:51.920 --> 02:52.440] taking
[02:52.440 --> 02:53.120] [*]
[02:53.120 --> 02:53.240] triumph
[02:53.240 --> 02:54.140] [*]
[02:54.140 --> 02:54.360] masterpiece
[02:54.360 --> 02:54.940] [*]
[02:54.940 --> 02:55.800] exuberant
[02:55.800 --> 02:56.520] [*]
[02:56.520 --> 02:56.640] rejoice
[02:56.640 --> 02:57.800] [*]
[02:57.800 --> 02:57.920] miracle
[02:57.920 --> 02:58.360] [*]
[02:58.360 --> 02:59.040] pleasure
[02:59.040 --> 02:59.680] [*]
[02:59.680 --> 03:00.160] admire
[03:00.160 --> 03:01.060] [*]
[03:01.060 --> 03:01.620] joyous
[03:01.620 --> 03:02.540] [*]
[03:02.540 --> 03:02.660] calm
[03:02.660 --> 03:03.360] outrage
[03:03.360 --> 03:04.360] [*]
[03:04.360 --> 03:05.000] abused
[03:05.000 --> 03:06.240] [*]
[03:06.240 --> 03:06.340] bother
[03:06.340 --> 03:06.740] [*]
[03:06.740 --> 03:07.560] embarrass
[03:07.560 --> 03:08.320] [*]
[03:08.320 --> 03:08.680] ugly
[03:08.680 --> 03:09.800] [*]
[03:09.800 --> 03:09.960] failing
[03:09.960 --> 03:10.640] [*]
[03:10.640 --> 03:11.080] trouble
[03:11.080 --> 03:11.740] [*]
[03:11.740 --> 03:12.340] neglect
[03:12.340 --> 03:12.900] [*]
[03:12.900 --> 03:13.720] uptight
[03:13.720 --> 03:14.200] [*]
[03:14.200 --> 03:14.500] worry
[03:14.500 --> 03:15.680] [*]
[03:15.680 --> 03:15.880] not
[03:15.880 --> 03:16.500] [*]
[03:16.500 --> 03:17.040] trap
[03:17.400 --> 03:17.620] [*]
[03:17.620 --> 03:18.260] saw
[03:18.260 --> 03:18.300] [*]
[03:18.300 --> 03:19.500] stared
[03:19.500 --> 03:20.500] [*]
[03:20.500 --> 03:20.620] emit
[03:20.620 --> 03:21.160] [*]
[03:21.160 --> 03:21.840] edit
[03:21.840 --> 03:22.780] [*]
[03:22.780 --> 03:23.540] tarp
[03:23.540 --> 03:24.360] raw
[03:24.360 --> 03:24.960] [*]
[03:24.960 --> 03:25.620] flow
[03:25.620 --> 03:26.740] [*]
[03:26.740 --> 03:26.860] tide
[03:26.860 --> 03:27.440] [*]
[03:27.440 --> 03:28.000] reward
[03:28.000 --> 03:29.140] help
[03:29.140 --> 03:29.760] [*]
[03:29.760 --> 03:30.660] fondness
[03:30.660 --> 03:31.440] rescued
[03:31.440 --> 03:32.260] [*]
[03:32.260 --> 03:32.720] optimistic
[03:32.720 --> 03:33.320] [*]
[03:33.320 --> 03:33.960] noble
[03:33.960 --> 03:34.500] [*]
[03:34.500 --> 03:35.100] beautiful
[03:35.460 --> 03:36.260] [*]
[03:36.260 --> 03:36.480] inspiring
[03:36.480 --> 03:37.040] [*]
[03:37.040 --> 03:37.700] improve
[03:37.700 --> 03:38.860] [*]
[03:38.860 --> 03:39.040] supportive
[03:39.040 --> 03:39.940] [*]
[03:39.940 --> 03:40.140] protest
[03:40.140 --> 03:41.180] terror
[03:41.180 --> 03:41.820] [*]
[03:41.820 --> 03:42.420] restrict
[03:42.420 --> 03:42.920] [*]
[03:42.920 --> 03:43.540] bore
[03:43.540 --> 03:44.000] [*]
[03:44.000 --> 03:44.740] ban
[03:44.740 --> 03:45.340] [*]
[03:45.340 --> 03:45.780] this
[03:45.780 --> 03:46.720] disgraced
[03:46.720 --> 03:47.320] alarmed
[03:47.400 --> 03:47.980] humiliation
[03:47.980 --> 03:48.320] will
[03:48.320 --> 03:48.320] rot
[03:48.320 --> 03:48.520] denial
[03:48.520 --> 03:49.620] [*]
[03:49.620 --> 03:49.900] subsidized
[03:49.900 --> 03:50.000] as
[03:50.000 --> 03:50.480] might
[03:50.480 --> 03:50.800] keep
[03:50.800 --> 03:54.440] [*]
[03:54.440 --> 03:54.720] puns
[03:54.720 --> 03:55.040] will
[03:55.040 --> 03:55.120] fake
[03:55.120 --> 03:56.040] [*]
[03:56.040 --> 03:56.300] high
[03:56.300 --> 03:56.420] and
[03:56.420 --> 03:56.980] rage
[03:56.980 --> 03:57.600] [*]
[03:57.600 --> 03:58.480] Chaos
[03:58.480 --> 04:00.800] [*]
[04:00.800 --> 04:01.020] block
[04:01.480 --> 04:01.780] there
[04:01.780 --> 04:02.020] was
[04:02.020 --> 04:02.500] an
[04:02.500 --> 04:04.280] [*]
[04:04.280 --> 04:04.480] old
[04:04.480 --> 04:04.580] man
[04:04.580 --> 04:04.800] with
[04:04.800 --> 04:05.140] the
[04:05.140 --> 04:07.880] [*]
[04:07.880 --> 04:08.040] beard
[04:08.040 --> 04:08.320] [*]
[04:08.320 --> 04:08.680] who
[04:08.680 --> 04:08.680] said
[04:08.680 --> 04:08.680] that
[04:08.680 --> 04:08.680] it
[04:08.680 --> 04:08.680] is
[04:08.680 --> 04:08.680] it
[04:08.680 --> 04:08.680] is
[04:08.680 --> 04:08.680] just
[04:08.680 --> 04:08.680] as
[04:08.680 --> 04:08.680] I
[04:08.680 --> 04:08.680] feared
[04:08.680 --> 04:12.800] [*]
[04:12.800 --> 04:13.220] 2000
[04:13.220 --> 04:13.220] a
[04:13.220 --> 04:13.220] hen
[04:13.220 --> 04:13.360] fulmer
[04:13.360 --> 04:13.400] [*]
[04:13.400 --> 04:14.240] extra
[04:14.240 --> 04:14.240] ran
[04:14.240 --> 04:14.240] all
[04:14.240 --> 04:14.240] have
[04:14.240 --> 04:14.240] all
[04:14.240 --> 04:14.240] built
[04:14.240 --> 04:14.240] their
[04:14.240 --> 04:14.240] nests
[04:14.240 --> 04:14.240] in
[04:14.240 --> 04:14.240] my
[04:14.240 --> 04:14.240] beard
[04:14.240 --> 04:14.240] there
[04:14.240 --> 04:14.560] was
[04:14.560 --> 04:14.720] an
[04:14.720 --> 04:14.880] old
[04:14.880 --> 04:15.060] man
[04:15.060 --> 04:15.220] in
[04:15.360 --> 04:15.780] Who
[04:15.780 --> 04:16.340] said
[04:16.520 --> 04:16.740] I'm
[04:16.740 --> 04:17.100] afloat
[04:17.120 --> 04:17.280] I'm
[04:17.280 --> 04:17.720] afloat
[04:17.720 --> 04:18.220] When
[04:18.220 --> 04:18.460] they
[04:18.460 --> 04:18.800] said
[04:18.860 --> 04:19.100] no
[04:19.100 --> 04:19.260] you
[04:19.260 --> 04:19.660] ain't
