/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:00.360] Thank
[00:00.360 --> 00:01.700] [*]
[00:01.700 --> 00:01.980] you
[00:29.500 --> 00:30.420] Good
[00:30.800 --> 00:31.200] [*]
[00:31.200 --> 00:31.360] You
[00:31.360 --> 00:31.640] know
[00:31.700 --> 00:32.180] school
[00:32.300 --> 00:33.080] [*]
[00:33.080 --> 00:33.940] Stressful
[00:33.980 --> 00:34.760] Tiring
[00:34.900 --> 00:35.220] [*]
[00:35.220 --> 00:35.480] But
[00:35.480 --> 00:36.040] [*]
[00:36.040 --> 00:36.400] other
[00:36.400 --> 00:37.640] [*]
[00:37.640 --> 00:37.840] than
[00:37.840 --> 00:38.080] that
[00:38.120 --> 00:38.460] yeah
[00:38.520 --> 00:38.820] pretty
[00:38.820 --> 00:39.060] good
[00:44.600 --> 00:44.860] [*]
[00:44.860 --> 00:45.480] I'd
[00:45.480 --> 00:45.780] say
[00:45.780 --> 00:46.140] it's
[00:46.140 --> 00:46.940] [*]
[00:46.940 --> 00:47.320] been
[00:47.320 --> 00:47.580] going
[00:47.580 --> 00:47.800] pretty
[00:47.800 --> 00:48.040] well
[00:48.100 --> 00:48.360] Yeah
[00:48.440 --> 00:49.460] [*]
[00:49.460 --> 00:51.100] It's
[00:51.100 --> 00:51.100] the
[00:51.100 --> 00:51.280] end
[00:51.280 --> 00:51.360] of
[00:51.360 --> 00:51.540] the
[00:51.540 --> 00:51.800] first
[00:51.800 --> 00:52.280] quarter
[00:52.380 --> 00:52.600] so
[00:52.600 --> 00:52.960] there's
[00:52.960 --> 00:53.160] that
[00:57.040 --> 00:57.200] [*]
[00:57.200 --> 00:57.780] Yes
[00:59.500 --> 01:07.420] [*]
[01:07.420 --> 01:08.780] Marching
[01:08.780 --> 01:08.980] band
[01:08.980 --> 01:09.920] and
[01:09.920 --> 01:12.020] [*]
[01:12.020 --> 01:12.120] robotics
[01:12.120 --> 01:13.180] [*]
[01:13.180 --> 01:13.520] and
[01:13.900 --> 01:14.420] yeah
[01:14.520 --> 01:15.100] [*]
[01:15.100 --> 01:15.380] just
[01:15.380 --> 01:15.700] those
[01:15.700 --> 01:15.860] two
[01:27.280 --> 01:27.720] Homework
[01:27.720 --> 01:28.140] [*]
[01:28.140 --> 01:28.520] and
[01:28.520 --> 01:29.120] [*]
[01:29.120 --> 01:29.560] sleep
[01:39.300 --> 01:40.100] Oh
[01:40.200 --> 01:40.340] wait
[01:40.380 --> 01:40.620] Oh
[01:40.700 --> 01:40.860] yeah
[01:40.900 --> 01:41.100] And
[01:41.100 --> 01:41.240] I
[01:41.240 --> 01:41.420] have
[01:41.420 --> 01:41.760] robotics
[01:41.760 --> 01:42.060] on
[01:42.060 --> 01:42.420] Saturday
[01:42.520 --> 01:42.840] so
[01:42.840 --> 01:44.220] [*]
[01:44.220 --> 01:44.720] that's
[01:44.720 --> 01:45.240] from...
[01:45.500 --> 01:46.540] [*]
[01:46.540 --> 01:47.140] 8
[01:47.140 --> 01:47.640] to
[01:47.640 --> 01:48.120] 12
[01:48.320 --> 01:49.540] [*]
[01:49.540 --> 01:49.760] And
[01:49.760 --> 01:50.060] in
[01:50.060 --> 01:50.360] season
[01:50.460 --> 01:50.640] 8
[01:50.640 --> 01:50.760] to
[01:50.760 --> 01:51.040] 3
[01:51.160 --> 01:51.480] So
[01:51.600 --> 01:52.320] [*]
