/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:00.660] .
[00:01.500 --> 00:02.020] .
[00:31.560 --> 00:31.860] .
[00:35.500 --> 00:35.740] [*]
[00:35.740 --> 00:36.100] .
[00:37.500 --> 00:38.980] [*]
[00:38.980 --> 00:39.120] .
[00:42.480 --> 00:42.480] .
[00:42.480 --> 00:43.180] .
[00:46.480 --> 00:46.480] .
[00:46.480 --> 00:46.880] [*]
[00:46.880 --> 00:46.980] .
[00:50.480 --> 00:50.480] .
[00:52.480 --> 00:52.480] .
[00:54.480 --> 00:54.480] .
[00:56.480 --> 00:56.480] .
[00:58.480 --> 00:58.480] .
[00:58.480 --> 00:58.700] .
[01:02.480 --> 01:02.480] .
[01:06.480 --> 01:06.480] .
[01:08.480 --> 01:08.480] .
[01:08.480 --> 01:08.720] .
[01:12.480 --> 01:12.480] .
[01:14.480 --> 01:14.480] .
[01:16.480 --> 01:16.480] .
[01:16.480 --> 01:16.860] .
[01:20.480 --> 01:20.480] .
[01:22.480 --> 01:22.480] .
[01:24.480 --> 01:24.480] .
[01:24.520 --> 01:24.880] [*]
[01:24.880 --> 01:25.100] .
[01:25.540 --> 01:25.900] [*]
[01:25.900 --> 01:26.240] .
[01:30.480 --> 01:30.480] .
[01:30.480 --> 01:30.800] .
[01:36.480 --> 01:36.480] .
[01:38.100 --> 01:38.100] .
[01:40.480 --> 01:40.480] .
[01:40.480 --> 01:40.740] .
[01:44.480 --> 01:44.480] .
[01:44.480 --> 01:44.980] .
[01:48.480 --> 01:48.480] .
[01:48.480 --> 01:48.740] .
[01:49.500 --> 01:49.700] .
[01:51.540 --> 01:52.140] .
[01:53.540 --> 01:53.800] .
[01:55.540 --> 01:55.840] [*]
[01:55.840 --> 01:56.220] .
[01:57.540 --> 01:58.040] .
[02:02.480 --> 02:02.480] .
[02:06.460 --> 02:06.460] .
[02:10.480 --> 02:10.480] .
[02:12.480 --> 02:12.480] .
[02:14.480 --> 02:14.480] .
[02:14.480 --> 02:14.900] .
[02:18.480 --> 02:18.480] .
[02:20.460 --> 02:20.460] .
[02:20.460 --> 02:21.060] .
[02:24.480 --> 02:24.480] .
[02:26.480 --> 02:26.480] .
[02:26.480 --> 02:26.780] .
[02:30.480 --> 02:30.480] .
[02:32.480 --> 02:32.480] .
[02:34.480 --> 02:34.480] .
[02:34.520 --> 02:35.160] .
[02:35.540 --> 02:35.740] [*]
[02:35.740 --> 02:35.980] .
[02:37.500 --> 02:38.180] .
[02:39.540 --> 02:40.340] [*]
[02:40.340 --> 02:40.600] .
[02:46.480 --> 02:46.480] .
[02:46.480 --> 02:47.040] .
[02:50.480 --> 02:50.480] .
[02:50.480 --> 02:50.780] .
[02:54.480 --> 02:54.480] .
[02:54.480 --> 02:54.880] .
[02:58.480 --> 02:58.480] .
[02:58.480 --> 02:59.020] .
[03:01.700 --> 03:01.700] .
[03:05.480 --> 03:05.480] .
[03:05.480 --> 03:05.760] .
[03:05.760 --> 03:06.020] .
[03:10.480 --> 03:10.480] .
[03:12.480 --> 03:12.480] .
[03:12.480 --> 03:12.820] .
[03:16.480 --> 03:16.480] .
[03:18.420 --> 03:18.420] .
[03:20.480 --> 03:20.480] .
[03:20.480 --> 03:20.800] .
[03:24.480 --> 03:24.480] .
[03:26.480 --> 03:26.480] .
[03:26.480 --> 03:27.160] .
[03:30.480 --> 03:30.480] .
[03:30.480 --> 03:30.940] [*]
[03:30.940 --> 03:31.480] um
[03:31.480 --> 03:32.640] there's
[03:32.640 --> 03:32.740] a
[03:32.740 --> 03:32.940] lot
[03:32.940 --> 03:33.140] more
[03:33.140 --> 03:33.520] like
[03:33.520 --> 03:35.040] [*]
[03:35.040 --> 03:35.240] places
[03:35.240 --> 03:35.960] [*]
[03:35.960 --> 03:36.160] that
[03:36.160 --> 03:36.340] [*]
[03:36.340 --> 03:36.460] we
[03:36.460 --> 03:36.700] can
[03:36.700 --> 03:36.980] go
[03:36.980 --> 03:37.740] um
[03:37.740 --> 03:38.560] [*]
[03:38.560 --> 03:38.760] like
[03:38.760 --> 03:39.640] shops
[03:39.640 --> 03:40.080] I
[03:40.080 --> 03:40.300] [*]
[03:40.300 --> 03:40.400] mean
[03:40.400 --> 03:40.640] [*]
[03:40.640 --> 03:41.380] um
[03:41.380 --> 03:42.080] [*]
[03:42.080 --> 03:42.660] what
[03:42.660 --> 03:43.000] else
[03:43.000 --> 03:45.140] [*]
[03:45.140 --> 03:45.640] yeah
[03:45.640 --> 03:45.680] [*]
[03:45.680 --> 03:46.160] I
[03:46.160 --> 03:46.720] also
[03:46.720 --> 03:47.680] um
[03:47.680 --> 03:50.100] [*]
[03:50.100 --> 03:50.500] since
[03:50.500 --> 03:50.780] my
[03:50.780 --> 03:51.020] mom
[03:51.020 --> 03:51.160] works
[03:51.160 --> 03:51.260] at
[03:51.260 --> 03:51.400] the
[03:51.400 --> 03:51.660] university
[03:51.660 --> 03:52.160] now
[03:52.160 --> 03:52.540] [*]
[03:52.540 --> 03:52.820] um
[03:52.820 --> 03:53.500] she
[03:53.500 --> 03:53.720] can
[03:53.720 --> 03:53.900] tell
[03:53.900 --> 03:54.080] me
[03:54.080 --> 03:54.240] about
[03:54.240 --> 03:54.520] different
[03:54.520 --> 03:54.740] programs
[03:54.740 --> 03:55.160] [*]
[03:55.160 --> 03:55.740] and
[03:55.740 --> 03:56.640] [*]
[03:56.640 --> 03:56.780] like
[03:56.780 --> 03:57.160] writing
[03:57.160 --> 03:57.600] contests
[03:57.600 --> 03:57.720] because
[03:57.720 --> 03:57.900] I've
[03:57.900 --> 03:58.000] won
[03:58.000 --> 03:58.160] two
[03:58.160 --> 03:58.400] writing
[03:58.400 --> 03:58.980] contests
[03:58.980 --> 03:59.500] and
[03:59.500 --> 04:00.360] uh
[04:00.360 --> 04:00.580] [*]
[04:00.580 --> 04:00.960] this
[04:00.960 --> 04:01.260] last
[04:01.260 --> 04:01.560] summer
[04:01.560 --> 04:01.800] I
[04:01.800 --> 04:02.100] went
[04:02.100 --> 04:02.440] [*]
[04:02.440 --> 04:02.580] to
[04:02.580 --> 04:02.920] the
[04:02.920 --> 04:03.160] bell
[04:03.160 --> 04:03.280] and
[04:03.280 --> 04:03.680] blink
[04:03.680 --> 04:03.980] [*]
[04:03.980 --> 04:04.320] writing
[04:04.320 --> 04:04.820] [*]
[04:04.820 --> 04:05.260] camp
[04:05.260 --> 04:05.780] for
[04:05.780 --> 04:05.920] the
[04:05.920 --> 04:06.180] summer
[04:06.180 --> 04:06.780] yeah
[04:06.780 --> 04:08.400] [*]
[04:08.400 --> 04:08.600] so
[04:08.600 --> 04:09.200] [*]
[04:09.200 --> 04:09.400] those
[04:09.400 --> 04:09.580] are
[04:09.580 --> 04:09.740] some
[04:09.740 --> 04:09.840] of
[04:09.840 --> 04:10.080] the
[04:10.080 --> 04:10.400] opportunities
[04:10.400 --> 04:10.980] I'm
[04:10.980 --> 04:11.100] sure
[04:11.100 --> 04:11.260] I'm
[04:11.260 --> 04:11.520] forgetting
[04:11.520 --> 04:12.120] [*]
[04:12.120 --> 04:12.480] some
[04:12.480 --> 04:12.760] but
[04:12.760 --> 04:13.360] yeah
[04:18.300 --> 04:18.300] I
[04:18.300 --> 04:19.020] [*]
[04:19.020 --> 04:19.200] loved
[04:19.200 --> 04:19.720] [*]
[04:19.720 --> 04:19.840] it
[04:19.840 --> 04:20.100] it
[04:20.100 --> 04:20.600] was
[04:20.600 --> 04:21.040] [*]
[04:21.040 --> 04:21.180] probably
[04:21.180 --> 04:21.460] the
[04:21.460 --> 04:21.740] most
[04:21.740 --> 04:21.940] fun
[04:21.940 --> 04:22.100] I've
[04:22.100 --> 04:22.320] ever
[04:22.320 --> 04:22.540] had
[04:22.540 --> 04:22.700] in
[04:22.700 --> 04:22.820] like
[04:22.820 --> 04:22.920] a
[04:22.920 --> 04:23.240] school
[04:23.240 --> 04:23.640] setting
[04:23.640 --> 04:24.320] and
[04:24.320 --> 04:24.520] it
[04:24.520 --> 04:24.680] kind
[04:24.680 --> 04:24.880] of
[04:24.880 --> 04:25.440] solidified
[04:25.440 --> 04:25.620] that
[04:25.620 --> 04:25.740] I
[04:25.740 --> 04:25.940] wanted
[04:25.940 --> 04:26.120] to
[04:26.120 --> 04:26.280] go
[04:26.280 --> 04:26.500] to
[04:26.500 --> 04:26.960] college
[04:26.960 --> 04:27.540] [*]
[04:27.540 --> 04:27.960] specifically
[04:27.960 --> 04:28.480] here
[04:28.480 --> 04:28.800] and
[04:28.800 --> 04:29.020] for
[04:29.020 --> 04:29.160] [*]
[04:29.160 --> 04:29.420] writing
[04:29.420 --> 04:30.140] um
[04:30.140 --> 04:30.700] my
[04:30.700 --> 04:31.040] teachers
[04:31.040 --> 04:31.400] were
[04:31.400 --> 04:31.780] amazing
[04:31.780 --> 04:32.520] [*]
[04:32.520 --> 04:32.840] um
[04:32.840 --> 04:33.160] the
[04:33.160 --> 04:33.400] [*]
[04:33.400 --> 04:33.560] class
[04:33.560 --> 04:33.920] was
[04:33.920 --> 04:34.280] amazing
[04:34.280 --> 04:34.620] I
[04:34.620 --> 04:34.880] loved
[04:34.880 --> 04:35.020] the
[04:35.020 --> 04:35.320] social
[04:35.320 --> 04:35.800] aspect
[04:35.800 --> 04:36.040] of
[04:36.040 --> 04:36.420] it
[04:36.420 --> 04:37.120] um
[04:37.120 --> 04:37.600] it
[04:37.600 --> 04:37.800] kind
[04:37.800 --> 04:38.000] of
[04:38.000 --> 04:38.260] helped
[04:38.260 --> 04:38.700] [*]
[04:38.700 --> 04:38.940] me
[04:38.940 --> 04:39.160] get
[04:39.160 --> 04:39.360] over
[04:39.360 --> 04:39.700] my
[04:39.700 --> 04:40.240] [*]
[04:40.240 --> 04:40.720] social
[04:40.720 --> 04:41.180] [*]
[04:41.180 --> 04:41.300] fears
[04:41.300 --> 04:41.500] because
[04:41.500 --> 04:41.660] I
[04:41.660 --> 04:41.900] have
[04:41.900 --> 04:42.140] really
[04:42.140 --> 04:42.300] bad
[04:42.300 --> 04:42.520] social
[04:42.520 --> 04:42.880] anxiety
[04:42.880 --> 04:43.260] so
[04:43.260 --> 04:43.520] it
[04:43.520 --> 04:44.100] really
[04:44.100 --> 04:44.340] helped
[04:44.340 --> 04:44.560] with
