/opt/sge/default/spool/argon-lc-g14-37/job_scripts/652661: line 6: on/2E_090: No such file or directory
/Users/msmuhammad/workbench/miniconda3/envs/whisper/lib/python3.10/site-packages/torch/cuda/__init__.py:138: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
[00:00.000 --> 00:14.380] [*]
[00:14.380 --> 00:15.380] pretty
[00:15.380 --> 00:15.720] good
[00:15.720 --> 00:16.080] [*]
[00:16.080 --> 00:16.240] I
[00:16.240 --> 00:16.500] just
[00:16.500 --> 00:17.380] I
[00:17.380 --> 00:17.780] guess
[00:17.780 --> 00:18.140] started
[00:18.140 --> 00:18.440] college
[00:18.440 --> 00:18.700] [*]
[00:18.700 --> 00:18.880] recently
[00:18.880 --> 00:19.200] so
[00:20.260 --> 00:20.440] I've
[00:20.440 --> 00:20.680] [*]
[00:20.680 --> 00:21.080] been
[00:21.080 --> 00:22.300] [*]
[00:22.300 --> 00:22.400] different
[00:22.400 --> 00:22.900] but
[00:22.900 --> 00:23.100] I
[00:23.100 --> 00:23.340] think
[00:23.340 --> 00:23.480] I've
[00:23.480 --> 00:23.600] made
[00:23.600 --> 00:23.700] the
[00:23.700 --> 00:24.220] transition
[00:24.220 --> 00:24.680] pretty
[00:24.680 --> 00:24.920] well
[00:29.500 --> 00:31.340] [*]
[00:31.340 --> 00:31.780] mm-hmm
[00:31.780 --> 00:32.280] [*]
[00:32.280 --> 00:32.580] I've
[00:32.580 --> 00:32.660] been
[00:32.660 --> 00:32.880] having
[00:32.880 --> 00:33.140] a
[00:33.140 --> 00:33.340] lot
[00:33.340 --> 00:33.420] of
[00:33.420 --> 00:33.640] fun
[00:33.640 --> 00:33.800] I
[00:33.800 --> 00:34.080] mean
[00:34.080 --> 00:34.340] I've
[00:34.340 --> 00:34.460] met
[00:34.460 --> 00:34.600] a
[00:34.600 --> 00:34.700] lot
[00:34.700 --> 00:34.800] of
[00:34.800 --> 00:34.900] new
[00:34.900 --> 00:35.160] people
[00:46.940 --> 00:46.940] I
[00:46.940 --> 00:47.460] [*]
[00:47.460 --> 00:47.580] met
[00:47.580 --> 00:47.740] a
[00:47.740 --> 00:47.900] lot
[00:47.900 --> 00:48.020] of
[00:48.020 --> 00:48.300] people
