PID,A_ES_R,A_E_R,A_CHK_I_R,A_N_R,A_CHK_O_R,A_M_R,A_ES_L,A_E_L,A_CHK_I_L,A_N_L,A_CHK_O_L,A_M_L
SP0249224,0.04423429528061225,0.005171795280612245,0.03829520089285714,0.013990752551020422,0.054597815688775524,0.007892219387755105,0.058683434311224476,0.0058294802295918375,0.05554448341836734,0.02451371173469389,0.08229033801020408,0.010263871173469396
SP0308612,0.044981640146878825,0.005711954304365562,0.04003467972256221,0.014160886712906332,0.06400448796409627,0.017288861689106483,0.05021759825921393,0.005898952808377532,0.046528627770977854,0.017526859785121685,0.07782537739698084,0.017866857065143488
SP0113255,0.034884305835010065,0.007922535211267609,0.04253018108651911,0.013480885311871242,0.059909456740442665,0.013179074446680077,0.04572434607645875,0.008928571428571428,0.054778672032193165,0.02205734406438631,0.08302313883299799,0.01690140845070422
SP0115723,0.06258442658607506,0.006319115323854659,0.04044462760720746,0.014504201295876547,0.0644046065434897,0.019003136662316546,0.0571582297318955,0.005735284016759392,0.04065068571559402,0.016324381253291192,0.06525173432241226,0.019151956407262395
SP0261856,0.06519642437073629,0.008080451658433309,0.05177605269348386,0.020465772759350773,0.08617972241825454,0.018148670900964472,0.06007998118089861,0.00756292637026582,0.04700070571630205,0.01831333803810867,0.07858151023288636,0.01663138085156434
SP0143538,0.05061412255257433,0.006163886874546776,0.03783312182741116,0.013540155910079791,0.06052846265409718,0.016894035532994935,0.05850027193618565,0.006741751269035532,0.04198014865844816,0.018310369833212464,0.07630076142131978,0.018321700507614228
SP0165202,0.036608036608036604,0.005005005005005005,0.03442013442013441,0.014643214643214632,0.04663234663234665,0.00872300872300872,0.04248534248534249,0.004661804661804662,0.04076934076934078,0.02093522093522094,0.06517946517946517,0.009209209209209208
SP0044634,0.048716346404207675,0.008839764620111441,0.04885955319481331,0.01623444253502057,0.06968963182836015,0.013682757902411073,0.05519970837889913,0.008488257043170338,0.054379524032703234,0.020908191428422637,0.07218924126438576,0.015674634171744
SP0153336,0.05479838215467583,0.008947174898884667,0.04602279691138619,0.01729378600318667,0.05326633165829141,0.012415737222698855,0.0510969481554112,0.009817379580830987,0.04476038730236549,0.018997426155166062,0.060068635862238,0.012955018997426161
SP0207601,0.05492590523319232,0.0076356186979540785,0.047170564290845235,0.014140527309974211,0.07361587783010085,0.010708489637374622,0.0572671402346556,0.007555803868358741,0.04762284832521884,0.015191422566312805,0.07789927368505066,0.011094261313752093
SP0066313,0.05121657090161027,0.006419805632404059,0.042845995601901096,0.017911612399801373,0.0798042136624814,0.016918493296446055,0.043484429311200966,0.005533092147265376,0.035113854011491814,0.011740086543236165,0.058629495637369654,0.01727317869050153
SP0048690,0.052387818946133535,0.007918662625867628,0.044884641704956506,0.016961579822074503,0.07636376967445492,0.011499169029230628,0.04965050347052498,0.00758871834978981,0.041426336885326036,0.015886205885228245,0.06986264541988464,0.011328086812005093
SP0377414,0.05063306852035749,0.006417576961271104,0.036134558093346564,0.010203574975173811,0.05499006951340611,0.009880834160873882,0.06225173783515392,0.007323733862959287,0.04920556107249257,0.02017130089374377,0.07617924528301886,0.012375868917576957
SP0012045,0.03599142132969389,0.006170793527003312,0.03991031390134529,0.01659192825112111,0.0556541236108403,0.0062195359719243466,0.049239617859231824,0.006726457399103138,0.055039968804835235,0.02829986352115422,0.08354455059465785,0.007701306297523885
