te_id,A_ES_R,A_E_R,A_CHK_I_R,A_N_R,A_CHK_O_R,A_M_R,A_ES_L,A_E_L,A_CHK_I_L,A_N_L,A_CHK_O_L,A_M_L
2E_023,0.05422576070139247,0.007668256833419292,0.048230402269210916,0.022129641567818492,0.07869069107787524,0.016319623517276952,0.05052539969056215,0.007341090768437337,0.04608206549767922,0.018364814337287254,0.07126740587931923,0.01560243682310468
2E_031,0.04525707925464156,0.005886329875703058,0.040107135753251345,0.01997024829763552,0.07283295032777655,0.01203928240417455,0.047629174443160706,0.006380957217644494,0.04449053912793232,0.021979440430997636,0.07593931583780879,0.013085141500450724
2E_032,0.058265150144878194,0.011163777969293631,0.04392939094413767,0.020276740400268133,0.0841370792414554,0.013263359117041013,0.05795438021570358,0.010463769812137142,0.04242386358397083,0.017428385485935994,0.08515273388872929,0.013042140579725562
2E_033,0.05272626931567329,0.007809050772626928,0.043184326710816796,0.024608167770419423,0.0839514348785872,0.013140176600441497,0.0538962472406181,0.007980132450331126,0.04539183222958057,0.024431567328918345,0.08955298013245035,0.013096026490066222
2E_034,0.05687793018573064,0.004714963808841449,0.03352474613862024,0.02217834246204531,0.06460848844428833,0.012466905693679801,0.060727989204539146,0.0059484216871228315,0.039351155369906535,0.026216325820049492,0.06960043310648241,0.01357331967464687
2E_035,0.05082290629887674,0.008746267595620647,0.04758282383051332,0.02111119010379638,0.07571804350917102,0.013617943978387604,0.0543082610550263,0.009339897625479883,0.04809647376652922,0.02006078487132093,0.08034622493957058,0.013786790843167925
2E_036,0.04528568706467428,0.00836124614771666,0.05409180599452295,0.027989978157927475,0.06686477284717009,0.015372126239935245,0.05039345651191393,0.009406106646635583,0.05940587043099904,0.031170228011080103,0.07594647668630405,0.018313010914737183
2E_038,0.051120444650487776,0.00907542530033057,0.04630432153511247,0.025708245988873675,0.07534341489962104,0.022048597113601562,0.04900528098040796,0.008138152059985486,0.051830958235910676,0.02537692493751512,0.07466061638313311,0.02154720632105134
2E_039,0.03404392260883133,0.0037739897019815898,0.041609455453268836,0.020365891714776117,0.07044975815259791,0.02140349508503668,0.043628101107817126,0.0042810890934623196,0.04820564830706819,0.026306756124200328,0.08934311124980494,0.02411257606490871
2E_040,0.04659660442264486,0.008537292919982554,0.04960044769609338,0.021234703031001296,0.0631866662277489,0.009538231106648769,0.05145316061920321,0.008721432627498745,0.05039564319279738,0.027850359226736676,0.08053386113191398,0.010416752392787488
2E_041,0.04875539484947926,0.009166785561421028,0.0473386895420174,0.024744970751890423,0.07735255564274504,0.015504619061207018,0.049392967969753176,0.009530157654444291,0.04769648844342988,0.02293814203167357,0.08059169460693394,0.015262742545298897
2E_043,0.061503895237108905,0.007867189867397002,0.04357353003225894,0.020982689113665756,0.0647201988469638,0.011369259272045204,0.05816388764225958,0.008904769028357943,0.03925156212241516,0.017958174627833196,0.054225497980460516,0.01110938500899491
