"","pair","X1","X2"
"1","1",17,21
"2","2",17,22
"3","3",17,26
"4","4",17,36
"5","5",17,39
"6","6",17,27
"7","7",17,42
"8","8",17,45
"9","9",17,30
"10","10",17,48
"11","11",17,54
"12","12",21,22
"13","13",21,26
"14","14",21,36
"15","15",21,39
"16","16",21,27
"17","17",21,42
"18","18",21,45
"19","19",21,30
"20","20",21,48
"21","21",21,54
"22","22",22,26
"23","23",22,36
"24","24",22,39
"25","25",22,27
"26","26",22,42
"27","27",22,45
"28","28",22,30
"29","29",22,48
"30","30",22,54
"31","31",26,36
"32","32",26,39
"33","33",26,27
"34","34",26,42
"35","35",26,45
"36","36",26,30
"37","37",26,48
"38","38",26,54
"39","39",36,39
"40","40",36,27
"41","41",36,42
"42","42",36,45
"43","43",36,30
"44","44",36,48
"45","45",36,54
"46","46",39,27
"47","47",39,42
"48","48",39,45
"49","49",39,30
"50","50",39,48
"51","51",39,54
"52","52",27,42
"53","53",27,45
"54","54",27,30
"55","55",27,48
"56","56",27,54
"57","57",42,45
"58","58",42,30
"59","59",42,48
"60","60",42,54
"61","61",45,30
"62","62",45,48
"63","63",45,54
"64","64",30,48
"65","65",30,54
"66","66",48,54
