PID,P_EB_R,P_2,P_3,P_EB_E_R,P_5,P_6,P_7,P_8,P_9,P_EB_M_R,P_11,P_12,P_13,P_14,P_15,P_EB_C,P_17,P_18,P_19,P_EB_N_R,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_EB_L,P_31,P_32,P_EB_N_L,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_EB_E_L,P_48,P_49,P_EB_M_L,P_51,P_52,P_53,P_54,P_E_R,P_56,P_57,P_58,P_59,P_E_M_R,P_61,P_62,P_63,P_64,P_65,P_66,P_67,P_68,P_NT_E_R,P_70,P_71,P_72,P_73,P_74,P_75,P_76,P_77,P_N_V,P_79,P_80,P_81,P_82,P_83,P_84,P_E_L,P_NT_E_L,P_87,P_88,P_89,P_90,P_91,P_92,P_93,P_94,P_E_M_L,P_96,P_97,P_98,P_99,P_100,P_101,P_102,P_103,P_104,P_105,P_M_H,P_107,P_108,P_109,P_110,P_111,P_112,P_113,P_114,P_N_H,P_116,P_117,P_118,P_119,P_M_V
SP0249224,0.3979479410369026,0.5448074985342838,0.8327059713331456,0.13606920226900152,0.3276311273555138,0.4859513930194572,0.5869135153408855,0.7634842259439982,0.650561472569531,0.6600503420812935,0.874464577438033,0.5510455044360525,0.7142857142857142,0.7419315146622224,0.7857650145961357,0.14759174334657627,0.44126477832684174,0.3150723212248908,0.16096211051178522,0.13752608750669076,0.2339387947602483,0.3894433658493641,0.47485396519909795,0.6444981535256398,0.6735747661256503,0.4437868265834167,0.4833401140153034,0.5985806447466424,0.6596576976441831,0.29562202019898753,0.45373485525971113,0.2675965994758162,0.12258509122987482,0.14973669492186092,0.25804189315390047,0.4653362085522638,0.6831524176677604,0.6301446424497817,0.47188576991358705,0.44277523003972874,0.589167331182452,0.6522900446089288,0.7281713931528224,0.524624805193664,0.353694287817451,0.26860015993734504,0.11364216126212366,0.5243588164295008,0.789408927034419,0.5862509790688486,0.5928598321797867,0.44838855462463273,0.6217389413769172,0.6786301666307094,0.2065667018082013,0.375,0.4708710515564506,0.6495343946604666,0.5146335938989873,0.5409159665864589,0.7386740482038041,0.41699869848815635,0.5786547834576047,0.6080776679463752,0.6537549752025149,0.17110507050657858,0.264336988269419,0.4430677062785538,0.3733488308402692,0.4979630062687839,0.5920019919040538,0.31192549231363254,0.4121191036730097,0.48858950728873934,0.5451914684263667,0.10383663705011614,0.27754073289945635,0.3571707578387431,0.5621633062626582,0.5426999890005753,0.35165992130907103,0.35199979888966887,0.4821635246893074,0.5448074985342839,0.17879450352232848,0.32757029156864537,0.5670873038643006,0.4806731899755014,0.35714285714285715,0.2946428571428571,0.44838855462463284,0.5113507522598697,0.4108113239402622,0.6758049810773665,0.48513045925812576,0.480569522885639,0.33692789757345015,0.5101801652557734,0.5681406524976084,0.26785714285714285,0.22432758082859128,0.11912200057255658,0.09982446328124062,0.125,0.18771246465739858,0.36609864881376625,0.21166552841303032,0.3599222209061853,0.21724151893922217,0.20709666972755725,0.32954170596358173,0.1907143693151235,0.15701344102740156,0.1622569807623772,0.2144716455261485,0.19107977284850625,0.2395787118749775,0.17336149856203215,0.23162717448344372,0.06313453403451316
SP0308612,0.37291381689562336,0.5027893399366133,0.8363381473132073,0.12025197680898099,0.29704268804435613,0.4444824701298082,0.5702231375912098,0.7517823161643363,0.5509392971960039,0.5837964421179821,0.823188843436717,0.4743926868016161,0.628855969145091,0.6185716759445256,0.7052874803803657,0.1350046102135666,0.4838858597279019,0.29552443297189973,0.15618763061530652,0.1154474770154282,0.2510368829150438,0.41666606740542395,0.4208314118782367,0.635257295184302,0.6754641420133903,0.41316334190961496,0.4485252069007329,0.5238787990542255,0.6440375948643652,0.35021337432718,0.41400315065382104,0.24135746685247358,0.08739324371052061,0.15101615597170587,0.2904469246522407,0.40460062746224107,0.6647704383890315,0.6238747948867104,0.42901026683667604,0.4032459719880291,0.5085448246182731,0.6306243153622559,0.7324723761734316,0.5453802514274471,0.3922008924843419,0.27299721200698374,0.1052372595671247,0.5020797889081332,0.797877895513517,0.5640194823550131,0.5829852569227557,0.4330326074929836,0.5733647840111489,0.6711841042974267,0.18722479600674896,0.3451579259128701,0.4619883040935672,0.6433799388802669,0.43193644656888774,0.4937986638605532,0.7058128558672737,0.3591836894194658,0.508720400495501,0.5034850177524318,0.5960964348810551,0.1627833834499863,0.27491528526536646,0.456473699346253,0.3127090728941413,0.4860886891437185,0.5864925141401888,0.27827831924509777,0.36741664917563943,0.40734740392306495,0.5209357906816,0.13846159118317714,0.31334556797024693,0.33139534883720934,0.580237283153691,0.5702795702342619,0.345985924789111,0.34435114022910773,0.436046511627907,0.5581701702501104,0.18165907994247577,0.29429018381023275,0.5817182565815362,0.4803174727315686,0.3477180823288105,0.26903552302542744,0.39183514583772283,0.5106583496508301,0.39738353821348765,0.6936618607627005,0.4810558352350834,0.47776574576215297,0.33130364990328764,0.47160152427425706,0.5735207966074836,0.2968649408968153,0.2768975922587038,0.09941520467836262,0.0935672514619883,0.10465116279069764,0.22681958571233649,0.391812865497076,0.23696654301003361,0.3691617005290499,0.2351025212823851,0.2054201806105956,0.35014416803530946,0.22694082660130463,0.20932433919239318,0.18794557904108408,0.19298245614035092,0.14434420249766122,0.24529116668165205,0.1403805414564143,0.2475809136971907,0.12223299425509312
SP0113255,0.37330777845682234,0.5352112676056338,0.8317530294214448,0.14600802255863318,0.32366541407510824,0.47011852841340307,0.5710014131610225,0.7412575342802051,0.6573925090804928,0.6543168295734659,0.8579650568171392,0.5670745951888774,0.7038683774746269,0.726359430822035,0.8176405107141892,0.16212925226834682,0.4597483807635723,0.2790936673302005,0.14037176149342107,0.14213607803873837,0.2279110826052008,0.37912684077888426,0.49185278370696783,0.6387833200475515,0.6654030623769113,0.4580099182236427,0.4917276670299586,0.5955279718491041,0.7088590084116153,0.2979230647951785,0.4326181384784414,0.25897560875492953,0.13221340828406622,0.13029563406653488,0.227908751170201,0.4859753619632752,0.6880113623111046,0.6239771172132258,0.4885217916982766,0.4571428571428571,0.5951636117802869,0.7090105032169061,0.720579183630518,0.5339812513813151,0.38001278644873426,0.2899205253014996,0.12607046831156082,0.5837264880369655,0.8375781760968019,0.632764663482346,0.6385503264094337,0.5148637520249382,0.6809028890354091,0.779812469755561,0.19134451818007173,0.34536600605919837,0.44509713035812776,0.6200886769230325,0.5128728431600722,0.5334638214292805,0.7132372217926957,0.42609642318183527,0.5578889552532951,0.58594766485015215,0.6816415075927108,0.15509414683211364,0.25392330209454733,0.42957746478873243,0.39315994482636535,0.5059652097658044,0.5835754219528592,0.3383628846080235,0.41419580134080747,0.48817326676874695,0.5978241365195357,0.10089339555199126,0.274740754930296,0.3714953256881239,0.557853940553628,0.5314066143068971,0.36089737333493266,0.35847007335809006,0.47939973466762703,0.5939018649601382,0.17663497896096902,0.36559335373822105,0.5877669977139327,0.49411334391180095,0.38464311734496465,0.32924994105598826,0.4743920659804727,0.5868848320204312,0.4604925809195721,0.7121038174703058,0.5263375451298807,0.5125660142523257,0.3955151005692803,0.5603061428699485,0.6626265316024311,0.2630626199871444,0.20061280399724002,0.1094295518960589,0.08718155690229323,0.10920591489766983,0.22321313939683549,0.36626683895420653,0.2032787977972616,0.34742851558945514,0.20621425987588435,0.21500723975176944,0.3002325599521529,0.17367719866562797,0.16586254621526708,0.18638462959565283,0.19027496254698797,0.1598743492164306,0.2617265624527906,0.16640045836011985,0.26772277734370153,0.1145024795559106
SP0115723,0.34176751708596304,0.5098398966803319,0.8341791784736096,0.13254968894276006,0.28379259000074697,0.40829804781952506,0.5565975469934582,0.7415692399632825,0.5493068382628947,0.5798569242110145,0.8132178673195457,0.4704182815061881,0.6134686505576851,0.6130161000079385,0.7272215422993974,0.17068449266597296,0.5106860264828581,0.3073029768575127,0.179957569040906,0.13055870302282666,0.27589291036557667,0.44269933800668404,0.4478141548797195,0.635253992467185,0.6786411454867615,0.42031657543716433,0.45725014432376676,0.5382048415130801,0.6859077740871178,0.3455365797258241,0.45764301815241304,0.29012988978231846,0.14604863289153036,0.1802550352449448,0.29904238936087524,0.45255754193783326,0.693361051729122,0.632649841790662,0.45986650836818393,0.4252264300728578,0.5429752278397645,0.6918751889658438,0.7544197019682559,0.5692530939357905,0.4267864267870451,0.29467810556028573,0.13538970401789377,0.5430684804421108,0.8208244996013617,0.5717456168910549,0.6042130250582791,0.46019010877993327,0.605970659706864,0.7247588365988303,0.18540143746774115,0.3314144953662643,0.46468103567984964,0.6492890995260664,0.41906587770681997,0.45655656666936684,0.6824820306605008,0.3383132396482464,0.48782229753421963,0.48066974909228743,0.5954231052663559,0.1511093800842075,0.2796208530805687,0.46468103567984964,0.3078515197238,0.4582668165679572,0.5641699958906458,0.25756504429238647,0.34860750375826294,0.3909734793135624,0.5314492779997788,0.15543250002046402,0.33602495035740404,0.33346807396313444,0.5539096061139923,0.5511389286280721,0.32418110128404226,0.33086755954058095,0.4252264300728578,0.574898762398745,0.18540143746774118,0.3013252499488204,0.5680246005125694,0.4534802229900626,0.335741504736264,0.25405284334152045,0.385855684922509,0.5302010163827566,0.40790269830772974,0.6855697324806855,0.4519068074833152,0.47133621912070317,0.32504001976263674,0.47096901078625325,0.5928334291866559,0.2778215852013329,0.26402057967215015,0.09209743390542866,0.09673638631500497,0.09178743961352659,0.24159238415830298,0.40287256714231395,0.2349598707900746,0.36492375814033406,0.22783772951677939,0.21187638244432908,0.3465422118547062,0.2216669237079457,0.21288236057350055,0.20872430199196376,0.18483412322274878,0.14301822283948265,0.2744638311763385,0.14604863289153036,0.2792102575837014,0.1498334271339199
SP0261856,0.36834793110116837,0.5302882512321502,0.9286130905927605,0.14820774925604255,0.33235498518331713,0.45242297443994545,0.593229916314629,0.7971055565320442,0.6147392052044066,0.6071800684407582,0.8677266607013446,0.5197744101358293,0.6746983866457654,0.6908934087191934,0.7723723540945387,0.1641666639268394,0.5718861045827333,0.2879549132152835,0.16451466712059118,0.147213993743671,0.27349852960746684,0.45850620111421425,0.5084493190664844,0.6475190706540338,0.7181445826154685,0.4633311329606952,0.5068490728857923,0.6162890539407486,0.7242799276619502,0.4094935415387552,0.4345186966858251,0.25936544060810524,0.13920810142461876,0.1654061131310646,0.3089004049230345,0.5096692079959083,0.6993637016840084,0.672877004665398,0.4975540367669326,0.47347789998716255,0.6194734124566383,0.72999503202593,0.812620217934555,0.6142567562124437,0.48063678518536884,0.3506750817358101,0.15929199514416442,0.6522574627537057,0.896984039229632,0.6616556125687518,0.7046714923234113,0.5573013909183985,0.7351526086892961,0.8275112750688423,0.20005259808318326,0.3320612716951135,0.46702724735831463,0.6721862835298559,0.4688831659199146,0.4882443089358095,0.7210482047234547,0.37703698380742817,0.5265178833090507,0.5498753264522592,0.6371283958329602,0.13616444059026486,0.26702151431971943,0.4721515361081081,0.3628533394861971,0.48322606504884585,0.5942663478749857,0.3043118414207021,0.3843331564075134,0.4660850731115339,0.5708919281331366,0.14213604618423728,0.3446903304329926,0.3853211009174312,0.5617289474038385,0.5770518223314866,0.361983901764747,0.36780077778155335,0.495439385318089,0.605700001203109,0.20517948859218516,0.3793805670234994,0.5991358510161003,0.5128795786287974,0.3947512653070756,0.3231012613394818,0.48504376580569797,0.5936748996066824,0.4960578987133553,0.7392734766524242,0.5334499604954165,0.5455358972764589,0.40517413637007893,0.5835453487148073,0.6803861989550858,0.2470129154267376,0.25362285347618735,0.1041174437756,0.10747303441576075,0.11021111736515248,0.22072030718238503,0.4055435051726359,0.20489578056421143,0.351398710843631,0.20188489788475983,0.2069305144106177,0.3543814340319665,0.2118144372467701,0.21019462534110006,0.22475489874835844,0.20005259808318335,0.17340045526697886,0.26966669122892684,0.17837879631369813,0.27850305125174096,0.11056846681756179
SP0143538,0.3705852663016045,0.548677581040977,0.8721547591386163,0.15420591463441338,0.32992161501246614,0.46924840466816253,0.6030335615673371,0.7950950342401488,0.5915096089490806,0.6200528342137033,0.8483198799372168,0.4998981907354296,0.6581194484240636,0.6651416315473646,0.7689564282250602,0.17856013204938306,0.5039103503073828,0.2912666687944185,0.15161542519787885,0.1341253715948083,0.265704075061237,0.44268438353964384,0.41383927602899395,0.6112126851782441,0.6529105015349168,0.3879677582627387,0.4279041847610696,0.5235286701539439,0.6608897580666805,0.3258471144401491,0.4564322578464364,0.2744807264914948,0.12467258593120295,0.15043677475375716,0.2804710945093822,0.41284530581552537,0.6691097623719154,0.6032127658901004,0.4342024022296009,0.3851347398523922,0.5241046796331502,0.6630617907262987,0.767134226614546,0.5710463137027192,0.41177295888079246,0.30151678078366856,0.14415810027723075,0.5555872436796317,0.8427814375404162,0.6152022541883506,0.6311069168685027,0.4753883211894029,0.6393049115427586,0.7545618359256198,0.19922395987276154,0.35544210810432414,0.4801552296381788,0.6743350418349892,0.43787575280795676,0.48195470652537137,0.6941678237022341,0.3458501621750442,0.5074075122583246,0.5113200687323055,0.6183240679007287,0.16043335035222903,0.2809313079843177,0.47511111816748,0.30241073020716586,0.46332247104665575,0.5585013177428222,0.25046338049802114,0.3455300809005746,0.40275594971883655,0.5338070016872609,0.13692395010288805,0.32595070849111857,0.31007836913233583,0.5496692593902393,0.5308548570273899,0.31512388381736883,0.30524672387448787,0.4227018446203261,0.5625426502332095,0.19418061264887163,0.2916334761220614,0.5700277047406619,0.45538543539507764,0.34282083152098053,0.2443223681511068,0.3966584494341396,0.5317551206033421,0.415334018278789,0.7019509206483288,0.47614269905234613,0.49729132017395017,0.33216925611363735,0.49566384983839196,0.610543378331932,0.2872140587708021,0.25925957829443547,0.10991277470852095,0.09685910089692422,0.11264128598001368,0.25251256152567725,0.38238216062522523,0.23494650063961076,0.3728868481174267,0.22217025952480843,0.2072862511613538,0.35071851465886256,0.22576402723248706,0.19418173793755164,0.19206676010298632,0.20382940872581512,0.16583474257838285,0.2857633750950054,0.1643173526663939,0.2906245776052414,0.13987443801949032
SP0165202,0.28754915359762195,0.48824087892239554,0.7646609162936792,0.13234203633030453,0.27008145774775927,0.4221973245655916,0.53768925909725,0.7005013476530829,0.5740534454563853,0.5616568322868324,0.7806966780242098,0.4767497944455411,0.6451807046539961,0.6327088144103314,0.7006516388442313,0.20113084949941615,0.47729365414595315,0.22745926395076058,0.128313476105668,0.1610615733620993,0.2651122286978806,0.4216632450054979,0.42234010847727466,0.5490394695015438,0.6076882100520892,0.38073857224029173,0.4462572586702458,0.521185619054735,0.5983854296218506,0.27645655899142924,0.41246694719692983,0.2665100628256204,0.11915483461687579,0.10832514831517097,0.23072862626597662,0.39632894947979175,0.6092648653489063,0.5302761914129251,0.4153134430594554,0.36436568436329336,0.512059656340627,0.5857226988132326,0.6848482497848275,0.5315751846010414,0.3656970076430884,0.2592658988609674,0.1348070895885103,0.5246088745714347,0.7874616565934758,0.5590994895661825,0.5974965554679547,0.433260190772425,0.6332740761825563,0.690838811113771,0.15873015873015872,0.32437675473315414,0.4403494133001402,0.6043602434699709,0.44251753748920075,0.4418840373188984,0.6493584602736444,0.3445885563869869,0.5180082183199415,0.5007813556949595,0.5695988481232481,0.16719690463744208,0.28229254130571374,0.4460522011713129,0.3293602762605635,0.42245077848618295,0.5296913587195382,0.26463263372311363,0.3817270834421193,0.4145320348313794,0.4903658193787503,0.1164021164021164,0.2804753725569333,0.29898744708080577,0.4923883255533622,0.46223407366193164,0.3002748506440753,0.2961880726300453,0.41084488193967467,0.48694662677319933,0.16411020886725589,0.30911540830177936,0.548032279373595,0.4247382621222654,0.35306444440118745,0.2608046769667504,0.425571617112069,0.49572108722400227,0.3917515797456431,0.6579128411728868,0.4290263484233471,0.4715666313475893,0.2984591074917109,0.4989325680498377,0.5560332695267832,0.27194741557565816,0.2069017156865479,0.12217237616500745,0.11737708884014877,0.11655550684081278,0.1894849024434944,0.39335846466861335,0.19540979953344537,0.38597690002971125,0.2004863412423546,0.2141108167669207,0.318612432539634,0.16721257119194113,0.19584180694159345,0.19313163087297838,0.23436781135959578,0.15661044793780607,0.22879178091082222,0.20452792904820036,0.2575858825094018,0.0773224451364225
SP0044634,0.3296029130373156,0.5664918976818348,0.8739939371082739,0.16055932503588866,0.32815120152057886,0.4614043714505995,0.5812342454399645,0.7887012383481802,0.6699230438314141,0.6883757466397439,0.9075141195513651,0.5792643900542972,0.7174222990207783,0.7606413818167344,0.8425049906010258,0.23737918020858365,0.5460346966473332,0.2823420344505594,0.15703100030895623,0.17444003384112283,0.2824117947736084,0.4721844048313636,0.5189023680780364,0.658883019649084,0.7271904041807838,0.47329076142178417,0.5231886179230167,0.6333627025639833,0.7308715549314074,0.30902911407242784,0.4972348034891485,0.3054623401574326,0.16867510679849232,0.14876099339019697,0.25314031056523556,0.5044176017763965,0.7168822667488777,0.6517576013575505,0.5092646797249766,0.4645397274798527,0.618999543533239,0.716594025703085,0.7912724865800007,0.586468008616539,0.434546114680541,0.3303300603309523,0.1427931825657208,0.6172198456284114,0.8694208223021433,0.6547785589597872,0.6724442152413509,0.5365112426995091,0.7072394737860094,0.7889861684281864,0.20828740908979712,0.358636189837695,0.4743307807526041,0.6879940000607688,0.5123216197897305,0.5323981758817524,0.7507161355495047,0.4192714247845176,0.565365331429191,0.6004986213832462,0.6819489727550655,0.1519672752737019,0.2660485302868426,0.479789931848061,0.38445470282766064,0.5026991199105842,0.6094993981696042,0.32402333605538053,0.4086145032563258,0.49378168493685193,0.58863451324608,0.11982988453745506,0.33058641567565883,0.3739185552694948,0.5603213256874385,0.562796656178719,0.3561663455016998,0.3604981573811365,0.49102501529319686,0.5901184006891323,0.2139202631514193,0.3595276889790168,0.584931356293245,0.5047884576227084,0.37728629519612167,0.315791798115018,0.472403296632157,0.5692534963627064,0.4744302382313768,0.7268551567913546,0.5247928647770093,0.5314038970276397,0.39464486838134016,0.5657242045713046,0.6494777353894741,0.2557320927984704,0.2386739667863967,0.10871917087721003,0.09635370770418011,0.11711711711711703,0.21621621621621612,0.3873880069130242,0.2080637353439234,0.34815097006535456,0.2104678598331348,0.21878724535268027,0.3406108398167132,0.20402505940464843,0.18371951673889753,0.18851639234801562,0.19658340670364233,0.18144432033153696,0.2687090753018692,0.17126328003828117,0.26023230426277694,0.09909909909909909
SP0153336,0.3334114499049222,0.49306593098941776,0.8250440420655372,0.18042146861307212,0.3421273688913197,0.44675848360038284,0.5819243446581847,0.7552907803569368,0.6734058063552923,0.703242934934666,0.8786235556018179,0.5887053981130514,0.7157240008264273,0.7542590211136333,0.8659031104869591,0.16109970304163226,0.4978685411666668,0.25243378881660616,0.14104220877712098,0.14411577625337996,0.26169044636224426,0.42345228307379607,0.48955767683495527,0.6175851404140301,0.6629569805618443,0.4488086208195682,0.4872908736038024,0.5900018423990697,0.7166977679104963,0.3376664598628071,0.4056975984572872,0.24458933934532387,0.14078874211355297,0.155818698110128,0.273215433569232,0.4909267536457916,0.6623826922804598,0.6244974358930068,0.4842756075645439,0.4554362618652647,0.5928265705612888,0.7184979715191202,0.7421161289160059,0.5678025017715542,0.4426879038392349,0.33601721247635147,0.18871618664948547,0.6734696667839812,0.8823963905007292,0.7131884765426052,0.7141625065608543,0.5935587702198831,0.7595972116223312,0.8667197247051439,0.19250612889233895,0.31658291457286425,0.4526820243229332,0.6383587181157052,0.49380777814547505,0.5290976080113307,0.7001644210804191,0.4083169144465502,0.540809238045395,0.5738425386594951,0.6862469416957351,0.12797387910914967,0.2613520602031477,0.4489355238160278,0.36931658965612496,0.47870861044621116,0.55969662368355,0.31477279897597094,0.3875889615602392,0.46566818146983385,0.5903061752665291,0.13707425653007918,0.32194081717153333,0.36616412502156975,0.5245680814260023,0.5248456084325325,0.34725711514244834,0.34964504542167013,0.46853527494844527,0.5956521082081254,0.18903916718615413,0.366739003278165,0.5614817051071092,0.4753271970320067,0.3865527777031505,0.3132045519458518,0.46470314554525644,0.5861301091931161,0.48860335993612825,0.7003501570893091,0.526467560816559,0.5376176895803849,0.405581975645904,0.5719970245613908,0.6780149844759218,0.21483683980749052,0.20877013404399805,0.10467754290205743,0.10139972411801443,0.10243902439024388,0.22948846938366768,0.3318017536602023,0.17825544886693656,0.31213846269873186,0.16930823431962103,0.19880565185482074,0.30870536236160806,0.17567730901215528,0.16761321418883426,0.1864425318457573,0.19604059877216787,0.1656730889494468,0.2811815775627486,0.16664781301070547,0.2769206835768417,0.1272268479762496
SP0207601,0.3430504245961973,0.5530444671325966,0.878147641673387,0.14678757537294831,0.3222210969269089,0.44566924029689997,0.5845180452306382,0.7747548003182859,0.6156937137044551,0.6769340777322971,0.8487430957824803,0.5397563155371148,0.6578258701402907,0.7183872969802055,0.7976733739260803,0.21442382835773094,0.5510856747799566,0.2753009023829366,0.17217037026263396,0.17646457364277382,0.2987450780651006,0.467718863399464,0.5155413087890061,0.6900777658231901,0.7304752279593449,0.47773167421076035,0.51202866549833,0.6481976611842566,0.7462150299419791,0.33962325548004185,0.46162854261272285,0.2903399352817861,0.17129923816477283,0.170501323319843,0.2758184965915429,0.5076619836507466,0.7289931318261244,0.6769549455838433,0.5053440181961506,0.4696143632730691,0.6388178572985332,0.7376194376580364,0.7663225644354708,0.5752986533677076,0.4398834347793067,0.3138152848221483,0.1376504511914683,0.6001588446322881,0.8394668060603173,0.6570685738441662,0.6448395273897661,0.5247650785680293,0.6965362825761219,0.7783536225668866,0.19277034182639172,0.32654448400719593,0.4605653181484893,0.6530889680143919,0.46992492825152177,0.5496924600783668,0.7034811229652117,0.3959128072156786,0.5110503511613339,0.5765722734877755,0.6595663255528565,0.13598444679183,0.2677959289880136,0.4603234140449736,0.3599726337927238,0.5187652520545479,0.5868399933014488,0.31141026348644413,0.37354231335042554,0.48837817752633833,0.5841097611231701,0.13948868201330436,0.32926195367991923,0.3633415235076437,0.5686474818232942,0.5633564683169193,0.3455077045754964,0.34537727851392225,0.4976273834960258,0.597230434532969,0.19257764434152505,0.3541520229177476,0.5877113356595496,0.5074626865671642,0.36960237175398003,0.3053271005102021,0.47994458097100046,0.5769811277349578,0.4635559924735069,0.7034571615773256,0.5381032869182759,0.507196151480298,0.3899335354328321,0.5643320857842489,0.6496922471559641,0.2404485294519672,0.23394943003764476,0.08558818497045959,0.08398253936493803,0.13432835820895528,0.23389198616279358,0.30485343326033,0.22382259926274709,0.3154620645604186,0.1665592455667289,0.1644531791007018,0.3101787766424837,0.21858686743120057,0.15271614912604886,0.15778163342390455,0.16050493225301585,0.18272670494706708,0.27410389704942434,0.1782699571808573,0.27248817632090344,0.09964608265351593
