devGenes_id,child_count,dob,gender,gender_other,sex,sex_other,parent_edu,race,race_other,ethnicity,marital_status
2208,NA,1972-03-31,1,NA,1,NA,7,6,NA,2,2
2209,NA,1976-01-05,1,NA,1,NA,7,6,NA,2,2
2210,NA,1976-02-12,1,NA,1,NA,6,6,NA,2,2
2231,NA,2009-01-27,2,NA,2,NA,5,2,NA,2,3
2266,4,1976-02-02,1,NA,1,NA,6,6,NA,2,2
2267,NA,1970-10-12,1,NA,1,NA,6,6,NA,2,2
2272,NA,1980-09-16,1,NA,1,NA,6,6,NA,2,2
2276,NA,1969-09-26,1,NA,1,NA,7,6,NA,2,2
2292,NA,1969-06-06,1,NA,1,NA,6,6,NA,2,2
2309,NA,1973-03-30,4,NA,1,NA,7,6,NA,2,2
2325,NA,1977-04-13,1,NA,1,NA,6,6,NA,2,2
2341,NA,1953-02-18,1,NA,1,NA,7,6,NA,2,2
2347,NA,1983-12-01,1,NA,1,NA,7,6,NA,2,2
2373,NA,1998-01-11,2,NA,2,NA,4,6,NA,2,3
2375,NA,1973-04-23,1,NA,1,NA,6,6,NA,2,2
2394,NA,2001-10-30,1,NA,1,NA,2,6,NA,2,3
2397,NA,1987-11-01,1,NA,1,NA,6,6,NA,2,2
2415,NA,2001-04-12,1,NA,1,NA,5,6,NA,2,3
2416,NA,2002-01-08,4,NA,1,NA,2,6,NA,2,3
2418,NA,2001-10-30,14,NA,1,NA,5,36,NA,2,3
2435,NA,2001-11-09,1,NA,1,NA,2,6,NA,2,3
2453,NA,1989-09-13,1,NA,1,NA,6,6,NA,2,2
2456,NA,2002-11-19,1,NA,1,NA,5,6,NA,4,3
2458,NA,1997-10-08,2,NA,2,NA,7,6,NA,2,3
2460,NA,2002-02-19,2,NA,2,NA,2,6,NA,4,3
2463,NA,1994-12-07,1,NA,1,NA,6,6,NA,2,2
2468,NA,1975-03-11,1,NA,1,NA,7,6,NA,2,3
2482,NA,2001-04-30,2,NA,2,NA,5,6,NA,2,3
2516,NA,1994-11-15,1,NA,1,NA,6,6,NA,2,3
2524,NA,1997-02-04,1,NA,1,NA,6,6,NA,2,2
2531,NA,1959-03-15,2,NA,2,NA,7,6,NA,2,4
2533,NA,1959-09-17,2,NA,2,NA,7,6,NA,2,2
2535,NA,1972-11-17,1,NA,1,NA,5,6,NA,2,2
