cbcl1,cbcl2,cbcl3,cbcl4,cbcl5,cons
participant_id,participant_id,participant_id,participant_id,participant_id,devGenes_id
cbclasr_timestamp,cbclasr_b57dca_timestamp,cbclasr_0e3194_timestamp,cbcl_child_4_timestamp,cbcl_child_5_timestamp,timestamp
fav_sport_1,fav_sport_1_f40cb5,fav_sport_1_6c88e3,fav_sport_1_v4,fav_sport_1_v4_v5,fav_sport
none_sports,none_sports_2,none_sports_3,none_sport_4,none_sport_5,none_sports
fav_hob_1,fav_hob_1_4f4bcb,fav_hob_1_70dd91,fav_hob_1_v4,fav_hob_1_v4_v5,fav_hob
hobby_none,none_hob_2,none_hob_3,none_hob_4,none_hob_5,hobby_none
child_org_1,child_org_1_7b38ad,child_org_1_a9057e,child_org_1_v4,child_org_1_v4_v5,child_org
none_org,none_org_2,none_org_3,none_org_4,none_org_5,none_org
child_job_1,child_job_1_b49c53,child_job_1_944412,child_job_1_v4,child_job_1_v4_v5,child_job
none_job_1,none_jobs_2,none_jobs_3,none_job_4,none_jobs_5,none_job
child_friends,child_friends_e3ff44,child_friends_3d9310,child_friends_v4,child_friends_v4_v5,child_friends
child_friends_outside,child_friends_outside_176e62,child_friends_outside_1b2eaf,child_friends_outside_v4,child_friends_outside_v4_v5,child_friends_outside
get_along_siblings,get_along_siblings_0c8e28,get_along_siblings_8d93da,get_along_siblings_v4,get_along_siblings_v4_v5,get_along_siblings
get_along_kids,get_along_kids_9f759b,get_along_kids_360207,get_along_kids_v4,get_along_kids_v4_v5,get_along_kids
child_behave,child_behave_f52997,child_behave_e86223,child_behave_v4,child_behave_v4_v5,child_behave
child_paw,child_paw_10d8da,child_paw_837f67,child_paw_v4,child_paw_v4_v5,child_paw
child_enrolled_in_school,child_enrolled_in_school_c18e19,child_enrolled_in_school_66b98b,child_enrolled_in_school_v4,child_enrolled_in_school_v4_v5,child_enrolled_in_school
no_school,no_school_979971,no_school_1b19f1,no_school_v4,no_school_v4_v5,no_school
school_performance_reading_english,school_performance_reading_english_2c305f,school_performance_reading_english_0e657d,school_performance_reading_english_v4,school_performance_reading_english_v4_v5,school_performance_reading_english
school_performance_history_ss,school_performance_history_ss_9e2f05,school_performance_history_ss_c2e50a,school_performance_history_ss_v4,school_performance_history_ss_v4_v5,school_performance_history_ss
school_performance_artihmetic_math,school_performance_artihmetic_math_bdb5a9,school_performance_artihmetic_math_25b61e,school_performance_artihmetic_math_v4,school_performance_artihmetic_math_v4_v5,school_performance_artihmetic_math
school_performance_science,school_performance_science_171038,school_performance_science_62e836,school_performance_science_v4,school_performance_science_v4_v5,school_performance_science
child_special,child_special_c58a54,child_special_1f1c3a,child_special_v4,child_special_v4_v5,child_special
special_type,special_type_71c244,special_type_d5a979,special_type_v4,special_type_v4_v5,special_type
grade_repeat,grade_repeat_1169fd,grade_repeat_955bcb,grade_repeat_v4,grade_repeat_v4_v5,grade_repeat
grade_repeated_reason,grade_repeated_reason_1590c6,grade_repeated_reason_427f63,grade_repeated_reason_v4,grade_repeated_reason_v4_v5,grade_repeated_reason
school_problems,school_problems_4c6a8b,school_problems_d7fd3c,school_problems_v4,school_problems_v4_v5,school_problems
school_problem_desc,school_problem_desc_bb920d,school_problem_desc_c276c9,school_problem_desc_v4,school_problem_desc_v4_v5,school_problem_desc
school_problems_begin,school_problems_begin_40f1b6,school_problems_begin_c4387d,school_problems_begin_v4,school_problems_begin_v4_v5,school_problems_begin
child_illness_disability,child_illness_disability_cb0a1c,child_illness_disability_e3a33b,child_illness_disability_v4,child_illness_disability_v4_v5,child_illness_disability
