participant_id,redcap_survey_identifier,kdocs_p1_timestamp,figuring_out_how_to_fix_a_p1,making_up_lyrics_to_a_funn_p1,planning_a_trip_or_event_w_p1,spontaneously_creating_lyr_p1,getting_people_to_feel_rel_p1,doodling_drawing_random_or_p1,making_a_sculpture_or_piec_p1,finding_something_fun_to_d_p1,arguing_a_side_in_a_debate_p1,solving_a_complex_math_pro_p1,gathering_the_best_possibl_p1,understanding_how_to_make_p1,writing_a_letter_to_the_ed_p1,singing_in_harmony_p1,appreciating_a_beautiful_p_p1,shooting_a_fun_video_to_ai_p1,coming_up_with_my_own_inte_p1,enjoying_an_art_museum_p1,writing_a_nonfiction_artic_p1,figuring_out_how_to_integr_p1,analyzing_the_themes_in_a_p1,playing_music_in_public_p1,writing_a_poem_p1,maintaining_a_good_balance_p1,being_able_tow_rod_through_p1,solving_math_puzzles_p1,thinking_of_new_ways_to_he_p1,learning_how_to_play_a_mus_p1,mediating_a_dispute_or_arg_p1,making_up_rhymes_p1,teaching_someone_how_to_do_p1,sketching_a_person_or_obje_p1,acting_in_a_play_p1,constructing_something_out_p1,writing_a_computer_progrma_p1,choosing_the_best_solution_p1,composing_an_original_song_p1,debating_a_controversial_t_p1,being_able_to_offer_constr_p1,drawing_a_picture_of_somet_p1,making_a_scrapbook_page_ou_p1,responding_to_an_issue_in_p1,carving_something_out_of_w_p1,helping_other_people_cope_p1,building_something_mechani_p1,researching_a_topic_using_p1,taking_apart_machines_and_p1,helping_to_carry_out_or_de_p1,coming_up_with_a_new_way_t_p1,taking_a_well_composed_pho_p1,kdocs_p1_complete,kdocs_timestamp,figuring_out_how_to_fix_a,making_up_lyrics_to_a_funn,planning_a_trip_or_event_w,spontaneously_creating_lyr,getting_people_to_feel_rel,doodling_drawing_random_or,making_a_sculpture_or_piec,finding_something_fun_to_d,arguing_a_side_in_a_debate,solving_a_complex_math_pro,gathering_the_best_possibl,understanding_how_to_make,writing_a_letter_to_the_ed,singing_in_harmony,appreciating_a_beautiful_p,shooting_a_fun_video_to_ai,coming_up_with_my_own_inte,enjoying_an_art_museum,writing_a_nonfiction_artic,figuring_out_how_to_integr,analyzing_the_themes_in_a,playing_music_in_public,writing_a_poem,maintaining_a_good_balance,being_able_tow_rod_through,solving_math_puzzles,thinking_of_new_ways_to_he,learning_how_to_play_a_mus,mediating_a_dispute_or_arg,making_up_rhymes,teaching_someone_how_to_do,sketching_a_person_or_obje,acting_in_a_play,constructing_something_out,writing_a_computer_progrma,choosing_the_best_solution,composing_an_original_song,debating_a_controversial_t,being_able_to_offer_constr,drawing_a_picture_of_somet,making_a_scrapbook_page_ou,responding_to_an_issue_in,carving_something_out_of_w,helping_other_people_cope,building_something_mechani,researching_a_topic_using,taking_apart_machines_and,helping_to_carry_out_or_de,coming_up_with_a_new_way_t,taking_a_well_composed_pho,kdocs_complete,kdocs_2_timestamp,figuring_out_how_to_fix_a_v2,making_up_lyrics_to_a_funn_v2,planning_a_trip_or_event_w_v2,spontaneously_creating_lyr_v2,getting_people_to_feel_rel_v2,doodling_drawing_random_or_v2,making_a_sculpture_or_piec_v2,finding_something_fun_to_d_v2,arguing_a_side_in_a_debate_v2,solving_a_complex_math_pro_v2,gathering_the_best_possibl_v2,understanding_how_to_make_v2,writing_a_letter_to_the_ed_v2,singing_in_harmony_v2,appreciating_a_beautiful_p_v2,shooting_a_fun_video_to_ai_v2,coming_up_with_my_own_inte_v2,enjoying_an_art_museum_v2,writing_a_nonfiction_artic_v2,figuring_out_how_to_integr_v2,analyzing_the_themes_in_a_v2,playing_music_in_public_v2,writing_a_poem_v2,maintaining_a_good_balance_v2,being_able_tow_rod_through_v2,solving_math_puzzles_v2,thinking_of_new_ways_to_he_v2,learning_how_to_play_a_mus_v2,mediating_a_dispute_or_arg_v2,making_up_rhymes_v2,teaching_someone_how_to_do_v2,sketching_a_person_or_obje_v2,acting_in_a_play_v2,constructing_something_out_v2,writing_a_computer_progrma_v2,choosing_the_best_solution_v2,composing_an_original_song_v2,debating_a_controversial_t_v2,being_able_to_offer_constr_v2,drawing_a_picture_of_somet_v2,making_a_scrapbook_page_ou_v2,responding_to_an_issue_in_v2,carving_something_out_of_w_v2,helping_other_people_cope_v2,building_something_mechani_v2,researching_a_topic_using_v2,taking_apart_machines_and_v2,helping_to_carry_out_or_de_v2,coming_up_with_a_new_way_t_v2,taking_a_well_composed_pho_v2,kdocs_2_complete,kdocs_3_timestamp,figuring_out_how_to_fix_a_v2_v3,making_up_lyrics_to_a_funn_v2_v3,planning_a_trip_or_event_w_v2_v3,spontaneously_creating_lyr_v2_v3,getting_people_to_feel_rel_v2_v3,doodling_drawing_random_or_v2_v3,making_a_sculpture_or_piec_v2_v3,finding_something_fun_to_d_v2_v3,arguing_a_side_in_a_debate_v2_v3,solving_a_complex_math_pro_v2_v3,gathering_the_best_possibl_v2_v3,understanding_how_to_make_v2_v3,writing_a_letter_to_the_ed_v2_v3,singing_in_harmony_v2_v3,appreciating_a_beautiful_p_v2_v3,shooting_a_fun_video_to_ai_v2_v3,coming_up_with_my_own_inte_v2_v3,enjoying_an_art_museum_v2_v3,writing_a_nonfiction_artic_v2_v3,figuring_out_how_to_integr_v2_v3,analyzing_the_themes_in_a_v2_v3,playing_music_in_public_v2_v3,writing_a_poem_v2_v3,maintaining_a_good_balance_v2_v3,being_able_tow_rod_through_v2_v3,solving_math_puzzles_v2_v3,thinking_of_new_ways_to_he_v2_v3,learning_how_to_play_a_mus_v2_v3,mediating_a_dispute_or_arg_v2_v3,making_up_rhymes_v2_v3,teaching_someone_how_to_do_v2_v3,sketching_a_person_or_obje_v2_v3,acting_in_a_play_v2_v3,constructing_something_out_v2_v3,writing_a_computer_progrma_v2_v3,choosing_the_best_solution_v2_v3,composing_an_original_song_v2_v3,debating_a_controversial_t_v2_v3,being_able_to_offer_constr_v2_v3,drawing_a_picture_of_somet_v2_v3,making_a_scrapbook_page_ou_v2_v3,responding_to_an_issue_in_v2_v3,carving_something_out_of_w_v2_v3,helping_other_people_cope_v2_v3,building_something_mechani_v2_v3,researching_a_topic_using_v2_v3,taking_apart_machines_and_v2_v3,helping_to_carry_out_or_de_v2_v3,coming_up_with_a_new_way_t_v2_v3,taking_a_well_composed_pho_v2_v3,kdocs_3_complete,kdocs_4_timestamp,figuring_out_how_to_fix_a_v2_v3_v4,making_up_lyrics_to_a_funn_v2_v3_v4,planning_a_trip_or_event_w_v2_v3_v4,spontaneously_creating_lyr_v2_v3_v4,getting_people_to_feel_rel_v2_v3_v4,doodling_drawing_random_or_v2_v3_v4,making_a_sculpture_or_piec_v2_v3_v4,finding_something_fun_to_d_v2_v3_v4,arguing_a_side_in_a_debate_v2_v3_v4,solving_a_complex_math_pro_v2_v3_v4,gathering_the_best_possibl_v2_v3_v4,understanding_how_to_make_v2_v3_v4,writing_a_letter_to_the_ed_v2_v3_v4,singing_in_harmony_v2_v3_v4,appreciating_a_beautiful_p_v2_v3_v4,shooting_a_fun_video_to_ai_v2_v3_v4,coming_up_with_my_own_inte_v2_v3_v4,enjoying_an_art_museum_v2_v3_v4,writing_a_nonfiction_artic_v2_v3_v4,figuring_out_how_to_integr_v2_v3_v4,analyzing_the_themes_in_a_v2_v3_v4,playing_music_in_public_v2_v3_v4,writing_a_poem_v2_v3_v4,maintaining_a_good_balance_v2_v3_v4,being_able_tow_rod_through_v2_v3_v4,solving_math_puzzles_v2_v3_v4,thinking_of_new_ways_to_he_v2_v3_v4,learning_how_to_play_a_mus_v2_v3_v4,mediating_a_dispute_or_arg_v2_v3_v4,making_up_rhymes_v2_v3_v4,teaching_someone_how_to_do_v2_v3_v4,sketching_a_person_or_obje_v2_v3_v4,acting_in_a_play_v2_v3_v4,constructing_something_out_v2_v3_v4,writing_a_computer_progrma_v2_v3_v4,choosing_the_best_solution_v2_v3_v4,composing_an_original_song_v2_v3_v4,debating_a_controversial_t_v2_v3_v4,being_able_to_offer_constr_v2_v3_v4,drawing_a_picture_of_somet_v2_v3_v4,making_a_scrapbook_page_ou_v2_v3_v4,responding_to_an_issue_in_v2_v3_v4,carving_something_out_of_w_v2_v3_v4,helping_other_people_cope_v2_v3_v4,building_something_mechani_v2_v3_v4,researching_a_topic_using_v2_v3_v4,taking_apart_machines_and_v2_v3_v4,helping_to_carry_out_or_de_v2_v3_v4,coming_up_with_a_new_way_t_v2_v3_v4,taking_a_well_composed_pho_v2_v3_v4,kdocs_4_complete,kdocs_5_timestamp,figuring_out_how_to_fix_a_v2_v3_v4_v5,making_up_lyrics_to_a_funn_v2_v3_v4_v5,planning_a_trip_or_event_w_v2_v3_v4_v5,spontaneously_creating_lyr_v2_v3_v4_v5,getting_people_to_feel_rel_v2_v3_v4_v5,doodling_drawing_random_or_v2_v3_v4_v5,making_a_sculpture_or_piec_v2_v3_v4_v5,finding_something_fun_to_d_v2_v3_v4_v5,arguing_a_side_in_a_debate_v2_v3_v4_v5,solving_a_complex_math_pro_v2_v3_v4_v5,gathering_the_best_possibl_v2_v3_v4_v5,understanding_how_to_make_v2_v3_v4_v5,writing_a_letter_to_the_ed_v2_v3_v4_v5,singing_in_harmony_v2_v3_v4_v5,appreciating_a_beautiful_p_v2_v3_v4_v5,shooting_a_fun_video_to_ai_v2_v3_v4_v5,coming_up_with_my_own_inte_v2_v3_v4_v5,enjoying_an_art_museum_v2_v3_v4_v5,writing_a_nonfiction_artic_v2_v3_v4_v5,figuring_out_how_to_integr_v2_v3_v4_v5,analyzing_the_themes_in_a_v2_v3_v4_v5,playing_music_in_public_v2_v3_v4_v5,writing_a_poem_v2_v3_v4_v5,maintaining_a_good_balance_v2_v3_v4_v5,being_able_tow_rod_through_v2_v3_v4_v5,solving_math_puzzles_v2_v3_v4_v5,thinking_of_new_ways_to_he_v2_v3_v4_v5,learning_how_to_play_a_mus_v2_v3_v4_v5,mediating_a_dispute_or_arg_v2_v3_v4_v5,making_up_rhymes_v2_v3_v4_v5,teaching_someone_how_to_do_v2_v3_v4_v5,sketching_a_person_or_obje_v2_v3_v4_v5,acting_in_a_play_v2_v3_v4_v5,constructing_something_out_v2_v3_v4_v5,writing_a_computer_progrma_v2_v3_v4_v5,choosing_the_best_solution_v2_v3_v4_v5,composing_an_original_song_v2_v3_v4_v5,debating_a_controversial_t_v2_v3_v4_v5,being_able_to_offer_constr_v2_v3_v4_v5,drawing_a_picture_of_somet_v2_v3_v4_v5,making_a_scrapbook_page_ou_v2_v3_v4_v5,responding_to_an_issue_in_v2_v3_v4_v5,carving_something_out_of_w_v2_v3_v4_v5,helping_other_people_cope_v2_v3_v4_v5,building_something_mechani_v2_v3_v4_v5,researching_a_topic_using_v2_v3_v4_v5,taking_apart_machines_and_v2_v3_v4_v5,helping_to_carry_out_or_de_v2_v3_v4_v5,coming_up_with_a_new_way_t_v2_v3_v4_v5,taking_a_well_composed_pho_v2_v3_v4_v5,kdocs_5_complete
2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2208,,"2023-11-03 14:10:03",4,4,5,2,5,1,1,4,4,1,5,5,5,2,5,1,5,5,5,5,5,2,2,1,1,1,5,3,3,1,4,1,5,1,1,5,3,5,5,1,4,5,1,5,1,5,1,2,5,5,2,"2023-11-03 14:12:03",4,4,2,4,2,2,1,3,4,4,4,4,4,3,3,2,4,3,4,5,5,2,4,4,3,4,2,2,1,4,3,2,2,1,1,4,4,5,5,1,2,5,1,3,1,5,1,4,5,5,2,"2023-11-03 14:13:54",4,5,3,5,1,5,1,4,4,4,4,4,3,1,3,2,2,2,4,4,4,1,4,3,4,4,2,1,1,4,2,4,1,1,1,5,4,5,4,4,2,4,1,3,1,5,3,3,5,5,2,"2023-11-03 14:19:23",3,2,4,1,3,2,2,4,4,5,4,3,2,3,3,3,3,3,4,4,4,3,2,4,4,5,3,4,3,3,4,3,2,3,3,4,3,4,4,2,3,4,2,3,3,4,3,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2209,,"2023-11-08 08:31:32",3,4,3,3,2,3,1,3,3,3,5,4,4,1,1,1,1,1,4,5,4,1,1,3,3,3,4,1,3,4,3,1,1,1,2,3,3,4,5,1,1,3,1,3,2,5,1,5,3,2,2,"2023-11-08 10:40:52",3,3,3,3,3,5,4,4,2,3,3,4,4,1,3,5,2,3,3,3,3,3,2,4,2,3,5,4,3,3,3,4,2,4,4,3,4,4,3,4,2,3,1,3,3,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2023-11-06 02:11:58",5,3,4,3,5,2,1,4,4,5,4,3,3,1,2,2,1,2,5,5,4,2,1,5,4,5,4,3,5,3,5,1,1,1,5,5,1,5,4,1,1,4,1,5,2,4,5,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
